streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Aqua,16.75,289.86,0.36,0.12,36.22
Ina,176.75,1.30,0.08,0.03,156.23
Gura,228.14,2.85,0.19,0.65,84.33
Marine,11.35,247.16,0.06,0.06,48.87
Miko,21.15,214.79,0.09,0.06,69.94
Pekora,30.43,225.48,0.04,0.07,40.21
Subaru,8.59,259.01,0.01,0.05,23.15
Suisei,28.77,176.34,0.05,0.04,84.23
Laplus,12.79,167.45,0.08,0.05,89.84
Kobo,216.34,1.63,0.17,0.03,41.61
Korone,28.53,191.03,0.03,0.05,31.72
Shion,8.66,196.13,0.05,0.03,35.96
Lamy,6.37,176.61,0.02,0.05,51.87
Kanata,5.15,177.48,0.02,0.05,49.41
Iroha,11.07,144.36,0.03,0.04,58.30
Mio,7.71,144.80,0.05,0.04,56.99
Kronii,140.95,3.64,0.68,0.01,51.42
Kiara,125.62,1.52,0.68,0.03,64.96
Chloe,11.32,140.48,0.06,0.06,35.47
Haato,14.85,124.48,0.04,0.04,43.95
Okayu,6.15,145.22,0.01,0.03,31.40
IRyS,129.49,2.39,0.06,0.00,48.65
Fauna,128.20,0.59,0.01,0.01,46.85
Nene,10.76,122.57,0.07,0.05,40.71
Amelia,105.81,0.51,0.11,0.06,66.91
Watame,9.12,93.44,0.03,0.02,67.33
Noel,4.14,132.62,0.03,0.07,32.78
Mumei,107.33,0.73,0.07,0.01,51.98
Koyori,4.88,111.92,0.02,0.03,40.45
Calli,118.87,2.51,0.04,0.07,31.02
Flare,5.30,84.65,0.01,0.02,51.61
Botan,13.67,97.25,0.02,0.28,29.49
Ayame,13.79,88.01,0.03,0.03,36.65
Towa,11.08,86.72,0.07,0.02,33.83
Fubuki,7.66,77.68,0.01,0.05,36.06
Lui,9.16,84.48,0.05,0.03,24.09
Sana,88.85,1.18,0.05,0.01,27.20
AZki,10.46,56.06,0.04,0.05,48.26
Roboco,9.81,90.19,0.07,0.11,14.61
Zeta,85.67,3.30,1.68,0.02,18.83
Baelz,64.33,9.54,2.96,0.01,28.81
Polka,5.13,88.56,0.03,0.02,8.34
Matsuri,9.47,65.63,0.04,0.03,13.80
Sora,5.85,59.00,0.08,0.01,17.64
Risu,66.01,0.61,0.01,0.00,14.66
Luna,7.98,62.21,0.02,0.04,10.53
Kaela,68.68,0.17,0.04,0.01,8.66
Moona,56.28,0.90,0.02,0.04,12.88
Ollie,55.01,0.91,0.14,0.02,7.82
Choco,5.83,50.21,0.02,0.06,2.02
Aki,6.94,36.86,0.01,0.01,13.17
Reine,35.15,0.95,0.20,0.00,11.45
Mel,4.26,34.64,0.01,0.02,7.78
Roberu,6.67,36.96,0.02,0.01,1.78
Iofi,32.73,2.12,0.03,0.00,8.49
Astel,10.96,21.42,0.01,0.01,4.07
Rikka,3.41,22.93,0.00,0.02,9.23
Anya,21.80,7.99,0.00,0.01,5.26
Miyabi,3.05,21.13,0.00,0.00,9.08
Gamma,2.61,25.33,0.00,0.02,1.62
Oga,0.79,12.86,0.01,0.00,9.68
Shien,1.86,14.73,0.01,0.00,6.23
Temma,2.33,11.99,0.00,0.00,5.58
Izuru,5.37,11.43,0.00,0.01,2.93
Aruran,1.50,11.53,0.01,0.00,3.30
Fuma,1.93,5.98,0.00,0.00,0.25
Uyu,0.86,6.33,0.00,0.00,0.13
Rio,0.75,5.04,0.01,0.00,0.32
