streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Bijou,537.18,34.09,0.29,0.10,262.39
Nerissa,555.35,22.99,0.81,0.36,129.95
Shiori,545.75,19.13,0.16,0.10,124.66
FuwaMoco,474.16,62.96,0.20,0.32,116.43
Kanata,17.12,313.00,0.14,0.14,305.95
Marine,12.54,316.02,0.10,0.17,70.87
Gura,276.49,2.85,0.06,0.37,113.30
Pekora,14.32,298.02,0.06,0.05,52.58
Miko,8.97,279.22,0.03,0.02,73.21
Suisei,24.62,287.27,0.09,0.13,44.98
Subaru,6.80,262.89,0.01,0.03,29.70
AZki,9.68,170.56,0.05,0.12,104.39
Aqua,15.01,232.91,0.05,0.05,20.73
Lamy,6.83,206.30,0.11,0.05,46.69
Noel,4.19,191.55,0.07,0.07,39.60
Chloe,5.21,165.76,0.05,0.07,58.51
Mio,5.15,135.01,0.03,0.03,88.95
Koyori,5.52,150.77,0.08,0.03,56.64
Fauna,124.14,0.56,0.01,0.01,87.12
Mumei,126.27,1.01,0.02,0.01,80.71
Botan,10.59,135.30,0.01,0.16,55.22
IRyS,100.44,8.28,0.05,0.01,90.25
Iroha,6.04,115.46,0.02,0.02,55.58
Kobo,124.36,0.78,0.04,0.03,42.05
Polka,8.19,136.71,0.01,0.05,21.46
Nene,5.59,105.60,0.02,0.03,50.99
Fubuki,5.18,99.21,0.01,0.07,50.99
Ina,80.11,1.57,0.02,0.01,73.41
Watame,4.72,96.79,0.02,0.02,52.43
Kiara,97.39,1.12,0.10,0.03,53.77
Baelz,86.50,3.66,0.13,0.01,55.16
Luna,7.78,100.76,0.02,0.03,36.38
Ayame,8.74,101.92,0.04,0.14,33.18
Korone,11.09,120.39,0.01,0.04,12.14
Amelia,78.81,0.48,0.01,0.01,63.20
Kronii,94.23,0.43,0.07,0.01,47.54
Okayu,2.83,107.22,0.01,0.03,27.37
Sora,9.95,93.69,0.07,0.03,28.63
Laplus,6.90,81.04,0.03,0.02,43.75
Calli,99.51,4.49,0.03,0.03,27.43
Towa,9.15,77.55,0.04,0.03,30.45
Shion,3.58,99.60,0.04,0.02,12.35
Lui,2.77,90.60,0.29,0.06,16.00
Ollie,69.88,6.70,0.04,0.03,31.64
Matsuri,4.58,72.02,0.03,0.04,15.15
Flare,2.43,54.21,0.01,0.01,35.06
Choco,27.86,47.05,0.02,0.08,8.85
Anya,44.10,18.17,0.13,0.03,20.33
Roboco,6.99,57.19,0.02,0.02,16.84
Zeta,56.49,2.45,0.31,0.01,20.15
Reine,43.06,4.51,0.01,0.01,23.46
Mel,3.80,57.45,0.02,0.02,9.76
Iofi,44.31,6.13,0.01,0.02,13.64
Aki,3.17,33.99,0.01,0.01,12.52
Moona,38.43,0.50,0.01,0.04,10.28
Kaela,37.42,0.09,0.00,0.00,9.56
Risu,40.03,0.48,0.01,0.02,4.99
