streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,23.91,284.25,0.12,0.09,168.93
Laplus,15.68,263.99,0.11,0.07,82.23
Aqua,34.16,256.26,0.11,0.10,70.38
Gura,248.67,3.11,0.52,0.59,91.59
Suisei,26.22,212.14,0.07,0.04,101.66
Pekora,11.26,245.57,0.07,0.13,42.10
Rushia,11.94,252.26,0.23,0.27,32.47
Subaru,8.45,228.23,0.07,0.03,39.78
Okayu,7.58,183.05,0.05,0.06,54.93
Miko,7.56,184.46,0.05,0.07,50.29
Shion,4.39,194.63,0.02,0.02,24.58
Korone,26.24,174.32,0.03,0.04,20.62
Ina,153.45,1.15,0.22,0.03,65.98
Mio,6.29,118.55,0.02,0.04,88.46
Amelia,116.88,0.71,0.19,0.08,83.36
Baelz,147.71,4.23,2.50,0.03,46.08
Calli,151.52,3.61,0.10,0.19,41.35
Lamy,6.31,156.33,0.01,0.04,31.52
Iroha,6.10,132.23,0.03,0.03,55.27
Kanata,4.67,150.58,0.02,0.04,37.12
Fubuki,18.33,107.26,0.03,0.12,58.61
Ayame,12.97,93.48,0.03,0.11,76.82
Kronii,143.08,0.60,1.71,0.03,35.87
Chloe,10.69,143.85,0.05,0.06,25.53
Mumei,130.20,1.05,0.24,0.05,46.48
Nene,10.42,126.53,0.04,0.05,36.02
Koyori,4.04,124.86,0.01,0.03,37.34
Kiara,117.92,4.06,1.64,0.06,40.62
Watame,6.24,95.95,0.03,0.05,56.56
IRyS,111.14,2.36,0.10,0.01,40.29
Noel,5.91,127.92,0.03,0.07,15.69
Haato,30.04,55.33,0.26,0.07,55.17
Botan,9.28,87.94,0.02,0.39,31.06
Fauna,83.74,0.36,0.10,0.01,37.25
Towa,13.49,68.55,0.15,0.01,26.78
Flare,3.60,64.40,0.01,0.01,40.47
Sora,7.78,77.45,0.05,0.02,18.01
Luna,8.87,68.23,0.03,0.03,22.47
Polka,5.81,78.78,0.02,0.03,11.07
Lui,6.16,73.73,0.02,0.03,15.25
Aki,12.80,62.38,0.01,0.02,13.99
Matsuri,3.44,60.86,0.03,0.05,13.26
Moona,54.13,0.84,0.01,0.06,15.96
AZki,8.02,24.14,0.03,0.04,34.21
Ollie,54.13,1.85,0.27,0.02,6.46
Shien,5.83,40.02,0.02,0.02,15.69
Roboco,8.26,45.56,0.02,0.02,7.17
Mel,6.13,43.37,0.01,0.02,8.55
Choco,5.64,46.49,0.03,0.04,4.68
Reine,47.00,0.16,0.02,0.01,8.84
Miyabi,6.83,40.24,0.00,0.00,7.02
Risu,47.13,0.29,0.00,0.01,5.31
Sana,37.22,0.13,0.03,0.00,7.30
Iofi,32.48,2.50,0.01,0.01,5.26
Oga,3.64,21.46,0.01,0.00,13.30
Roberu,2.63,27.76,0.00,0.00,1.12
Astel,9.10,15.28,0.00,0.00,2.42
Rikka,2.78,11.70,0.00,0.00,6.38
Anya,14.40,3.34,0.00,0.00,2.13
Temma,3.78,12.08,0.00,0.00,3.73
Aruran,1.91,9.45,0.00,0.00,2.20
Izuru,2.20,8.28,0.00,0.00,0.76
