streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,17.50,338.11,0.10,0.08,65.44
Miko,15.10,295.88,0.04,0.07,96.35
Iroha,16.23,265.68,0.04,0.06,121.42
Suisei,34.96,242.38,0.08,0.08,114.16
Pekora,15.20,309.71,0.02,0.05,45.68
AZki,25.56,128.79,0.03,0.06,203.75
Gura,263.85,2.44,0.12,0.44,89.18
Subaru,8.23,297.53,0.02,0.04,37.61
Lamy,7.07,258.48,0.01,0.10,47.31
IRyS,176.11,10.22,0.04,0.01,111.45
Okayu,6.41,179.68,0.02,0.06,57.78
Korone,11.80,205.15,0.02,0.02,21.94
Kanata,5.74,194.94,0.01,0.05,36.57
Chloe,6.36,182.67,0.02,0.04,45.80
Koyori,6.23,159.09,0.01,0.03,63.20
Mio,5.75,142.70,0.02,0.04,70.41
Botan,13.88,142.63,0.01,0.29,54.55
Aqua,8.98,184.65,0.03,0.05,11.06
Nene,9.29,112.13,0.02,0.06,55.76
Kobo,137.29,0.56,0.04,0.03,36.43
Noel,4.75,135.67,0.02,0.04,30.18
Fauna,110.30,0.28,0.01,0.01,55.12
Watame,6.22,99.53,0.01,0.04,56.81
Ayame,7.41,116.77,0.02,0.05,35.31
Fubuki,6.03,103.43,0.01,0.05,49.79
Amelia,80.26,0.90,0.03,0.02,68.45
Laplus,8.65,102.17,0.04,0.06,36.33
Mumei,94.72,0.25,0.04,0.02,49.19
Shion,3.60,119.33,0.01,0.01,17.47
Haato,22.81,51.87,0.01,0.03,63.38
Towa,10.01,90.27,0.04,0.01,35.77
Kronii,89.45,1.20,0.09,0.01,44.02
Flare,3.65,84.33,0.01,0.02,46.14
Calli,96.16,1.63,0.01,0.04,31.63
Kiara,77.34,5.28,0.08,0.02,41.90
Lui,4.01,91.65,0.01,0.03,28.07
Polka,4.69,101.41,0.01,0.03,10.46
Sora,6.72,87.83,0.06,0.02,19.95
Baelz,76.92,2.19,0.89,0.01,32.92
Zeta,71.64,2.42,0.64,0.01,25.75
Matsuri,4.53,77.18,0.02,0.04,11.91
Mel,5.97,59.05,0.01,0.02,16.83
Kaela,58.79,0.12,0.01,0.01,15.58
Luna,5.35,53.44,0.01,0.02,11.33
Roboco,5.85,54.98,0.02,0.04,7.24
Choco,3.28,44.65,0.01,0.01,2.29
Moona,32.28,0.48,0.00,0.02,14.37
Reine,30.77,1.09,0.01,0.00,11.03
Ollie,28.16,0.52,0.03,0.01,5.31
Risu,26.55,0.30,0.00,0.00,6.28
Aki,2.94,23.36,0.02,0.01,6.78
Iofi,23.07,2.80,0.01,0.00,7.09
Anya,11.68,4.81,0.00,0.00,2.07
