streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Iroha,11.92,482.2,0.1,0.25,152.3
Marine,9.68,465.72,0.14,0.07,38.26
Miko,11.48,384.31,0.04,0.03,113.84
Pekora,14.23,366.58,0.14,0.11,42.3
Suisei,16.31,301.73,0.17,0.09,80.53
Subaru,9.4,343.63,0.01,0.02,39.23
Fubuki,10.12,255.57,0.03,0.11,118.03
Lamy,10.09,303.65,0.04,0.06,64.96
Kanata,9.82,285.01,0.03,0.04,57.02
Fauna,209.83,0.53,0.01,0.04,123.19
Mio,5.23,214.13,0.01,0.04,102.75
Chloe,6.33,191.02,0.03,0.11,98.01
Noel,3.6,258.29,0.13,0.04,21.72
Korone,13.81,241.35,0.06,0.03,24.78
AZki,7.9,200.34,0.02,0.07,68
Nene,12.98,165.64,0.03,0.08,72.08
Ina,108.41,3.3,0.05,0.01,130.31
Koyori,4.56,159.62,0,0.03,58.58
Okayu,4.02,173.75,0.01,0.03,43.72
Raden,7.5,136.5,0.05,0.05,68.78
Kanade,8.81,107.52,2.34,0.04,77.46
Chihaya,6.71,160,0.01,0.03,27.46
Watame,6.41,128.28,0.02,0.03,56.86
Ayame,5.64,127.97,0.02,0.02,57.05
Hajime,6.16,126.08,0.05,0.06,47.67
Cecilia,113.7,0.2,0.01,0,60.71
Bijou,126.83,0.96,0.01,0.03,44.94
IRyS,97.13,5.92,0.01,0.02,61.29
Ririka,6.53,120.35,0.15,0.05,31.42
Shion,3.78,131.5,0.33,0.1,22.19
Polka,4.6,120.09,0.01,0.05,27.12
Sora,6.08,96.72,0.03,0.04,45.73
Baelz,74.2,15.89,0.08,0.02,52.79
FuwaMoco,74.59,7.09,0.01,0.02,61.19
Shiori,92.02,0.4,0,0.01,49.29
Su,3.99,110.05,0.02,0.07,24.71
Botan,4.81,97.17,0,0.09,35.42
Raora,87.67,0.64,0.01,0.01,42.92
Vivi,6.48,115.46,0.01,0.04,9.25
Niko,7.91,99.06,0.05,0.07,16.97
Elizabeth,83.71,0.22,0,0.01,38.67
Luna,6.66,88.78,0.02,0.03,23.29
Kiara,74.9,5.05,0.04,0.02,35.22
Nerissa,77.22,0.35,0.01,0.01,33.38
Riona,5.22,79.94,0.01,0.03,25.24
Kronii,77.58,0.45,0.04,0.01,31.8
Matsuri,4.28,85.45,0.06,0.03,16.78
Gigi,79.29,0.08,0,0,26.85
Lui,3.07,90.62,0.01,0.03,12.37
Kobo,71.74,0.83,0.04,0.02,24.44
Calli,67.85,5.27,0.01,0.02,19.98
Laplus,4.84,51.49,0.03,0.02,30.42
Flare,2.13,48.71,0.01,0.01,34.09
Ao,2.45,70.26,0.04,0.01,11.84
Towa,4.17,58.65,0.01,0.01,17.86
Roboco,5.61,53.16,0.02,0.01,14.99
Aki,3.98,49.94,0,0,10.73
Haato,9.12,36.46,0.01,0.01,14.39
Zeta,36.62,2.79,0,0,14.68
Choco,2.25,43.84,0.02,0.03,4.74
Risu,40.86,0.3,0.02,0,9.29
Kaela,35.97,0.11,0.01,0,8.78
Anya,24.22,10.66,0,0,9.87
Reine,26.56,0.42,0,0,16.95
Ollie,30.92,0.99,0.01,0.04,11.4
Iofi,26.8,1.96,0,0,5.29
Moona,14.05,0.09,0,0,4.23
