streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Shion,48.52,376.07,0,0,344.59
Laplus,18.71,409.96,0.16,0.09,59
Miko,8.76,270.42,0.03,0.01,95.99
Marine,9.65,290.52,0.05,0.07,44.39
Pekora,15.37,279.86,0.05,0.07,44.44
Gura,223.37,2.61,0.02,0.28,107.11
Subaru,6.77,254.08,0,0.02,33.85
AZki,8.67,166.49,0.04,0.05,113.92
Lamy,7.25,214.14,0.02,0.05,52.95
Kanata,5.84,196.33,0.01,0.02,43.43
FuwaMoco,112.47,16.86,0,0.03,88.37
Fubuki,6.57,132.24,0.02,0.05,75.38
Fauna,118.68,0.16,0,0.01,66.08
Nene,13.23,124.87,0.05,0.06,46.36
Korone,14.12,151.83,0.01,0.02,13.37
Mio,3.15,111.12,0.01,0.02,63.98
Koyori,5.11,116.32,0.01,0.03,55.2
Kanade,12.05,79.24,4.81,0.03,78.87
Aqua,11.69,152.56,0.02,0.02,7.55
Watame,4.44,107.16,0.02,0.04,57.88
Botan,6.67,123.45,0.01,0.09,39.23
Kobo,96.81,0.69,0.02,0.04,64.58
Polka,5.73,122.7,0.02,0.08,18.96
Noel,3.63,115.31,0.02,0.02,25.39
Iroha,4.52,101.72,0.02,0.05,37.29
IRyS,79.16,13.09,0,0.01,50.1
Bijou,98.26,0.72,0.02,0.01,41.88
Sora,6.64,90.42,0.04,0.06,43.2
Chloe,3.86,103.14,0.03,0.04,32.5
Nerissa,101.35,0.5,0.01,0.01,36.64
Ririka,9.3,115.25,0.02,0.02,11.8
Hajime,4.09,107.23,0.02,0.02,24.87
Shiori,78.45,0.19,0.01,0,48.55
Okayu,3.47,96.77,0.01,0.02,25.89
Lui,3.98,101.49,0.03,0.07,19.57
Mumei,70.59,2.15,0.01,0.01,49.6
Raden,3.73,96.84,0.01,0.02,21.45
Luna,6.37,88.62,0.01,0.02,21.3
Roboco,6.1,87.04,0.1,0.03,19.25
Kronii,71.37,0.44,0.05,0.01,35.88
Ayame,5.32,81.44,0.01,0.01,20.54
Flare,3.21,63.12,0.01,0,40.86
Towa,4.67,67.74,0.02,0.02,24.51
Kiara,59.82,0.52,0.04,0.01,35.66
Ao,3.96,68.86,0.02,0.02,15.42
Matsuri,4.11,72.57,0.01,0.02,8.92
Ina,39.12,0.96,0.01,0.01,44
Baelz,50.18,5.04,0.06,0.01,26.18
Calli,47.26,8.43,0.02,0.02,22.37
Moona,39.64,1.45,0,0.02,27.58
Haato,10.42,34.92,0.03,0.01,20.25
Risu,40.31,1.04,0.01,0,21.54
Zeta,39.34,2.49,0.01,0,17.33
Choco,2.16,50.33,0.02,0.12,6.27
Aki,2.95,40.46,0,0,11.49
Kaela,38.66,0.12,0.01,0,13.13
Ollie,30.36,1.28,0.01,0,11.37
Iofi,22.8,2.56,0,0,6.5
Reine,18.61,1.34,0,0,11.78
Anya,10.38,3.41,0,0,3.21
