streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,14.08,274.08,0.08,0.08,67.78
Gura,248.93,2.66,0.14,0.48,76.08
Lamy,6.02,249.45,0.03,0.09,69.01
Mumei,129.33,4,0.04,0.03,177.04
Miko,6.66,223.39,0.02,0.01,58.29
Subaru,5.82,231.62,0.03,0.02,27.51
Pekora,13.78,212.5,0.02,0.05,25.68
Kanata,5.8,190.14,0.03,0.02,55.56
Watame,7.36,146.42,0.06,0.06,92.52
Iroha,6.09,176.38,0.05,0.05,61.44
Laplus,16.25,177.96,0.31,0.11,44.77
Amelia,131.41,0.45,0.03,0.03,93.57
Korone,13.63,189.61,0.04,0.09,21.61
AZki,6,135.89,0.04,0.04,82.11
Fauna,146.64,0.25,0.01,0.02,70.61
Suisei,12.03,152.96,0.02,0.08,44.83
Ina,98.13,2.97,0.05,0.02,106.08
Mio,5.25,125.42,0.01,0.04,71.77
FuwaMoco,109.05,9.11,0.01,0.02,78.9
Koyori,5.23,140.38,0.06,0.03,41.15
Sora,9.56,121.63,0.07,0.02,48.75
Kanade,13.6,98.4,3.79,0.05,64.13
Fubuki,5.92,124,0.02,0.06,45.23
Aqua,8.49,145.28,0.02,0.03,16.99
IRyS,88.55,7.62,0,0,67.52
Bijou,118.66,0.67,0.01,0.01,39.44
Chloe,3.77,122.19,0.03,0.06,28.27
Kobo,105.16,1.07,0.03,0.03,44.27
Okayu,3.36,121.15,0.01,0.02,24.55
Hajime,4.78,113.08,0.07,0.02,24.83
Ririka,18.45,108.57,0.03,0.02,14.63
Noel,3.62,116.68,0.01,0.03,18.98
Kronii,93.65,0.49,0.04,0.01,44.46
Kiara,78.99,1.1,0.04,0.01,56.12
Shiori,78.9,0.4,0,0.01,47.52
Ao,5.89,104.15,0.29,0.04,15.13
Raden,5.03,94.9,0.05,0.03,19.5
Nene,6.35,87.14,0.04,0.04,23.68
Botan,5.94,78.72,0.01,0.08,30.39
Nerissa,82.33,0.34,0.01,0.02,26.28
Baelz,68.91,3.92,0.1,0.02,35.96
Ayame,3.24,79.57,0.02,0.02,23.96
Towa,6.4,71.85,0.04,0.02,24.52
Haato,14.07,64.65,0.01,0.07,22.41
Lui,1.8,82.47,0.12,0.04,12.21
Polka,3.13,76.51,0.01,0.04,14.2
Luna,8.52,62.28,0.02,0.03,13.61
Mel,5.62,58.74,0,0.01,18.16
Flare,3.38,46.63,0.01,0,29.41
Calli,59.45,0.68,0.01,0.02,17.55
Zeta,45.71,3.63,0.01,0.01,20.31
Matsuri,2.62,53.17,0.08,0.03,11.55
Aki,4.01,42.62,0,0.01,10.75
Roboco,3.42,41.26,0.03,0.01,7.47
Kaela,38.6,0.15,0.01,0,10.51
Risu,29.58,0.54,0.01,0,12.8
Moona,28.09,0.4,0,0.02,13.55
Ollie,27.92,0.79,0.01,0,8.53
Iofi,26.17,2.72,0,0,7.12
Reine,23.34,0.46,0,0,11.17
Choco,2.41,25.23,0.01,0.02,1.28
Anya,18.2,1.66,0,0,5.41
