streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
AZki,32.27,127.43,0.18,0.03,247.77
Kanata,8.45,287.07,0.03,0.1,110.55
Lamy,5.31,308.18,0.03,0.16,47.35
Aqua,11.75,299.86,0.07,0.09,24.05
Marine,15.18,240.43,0.16,0.06,55.1
Gura,223.72,2.15,0.19,0.79,80.34
Miko,18.96,213.66,0.06,0.05,70.65
Pekora,13.87,245.04,0.02,0.04,43.44
Suisei,26.47,206.8,0.04,0.03,55.35
Subaru,7.3,245.5,0.02,0.06,21.03
Mio,9.12,142.59,0.04,0.11,70.18
Laplus,11,143.54,0.04,0.06,65.61
Sana,124.32,2.22,0.06,0.04,90.22
Kobo,186.68,0.71,0.13,0.04,28.01
IRyS,129.54,7.98,0.03,0.01,70.41
Korone,15.33,170.6,0.02,0.03,14.86
Chloe,7.1,150.44,0.06,0.08,42.78
Ina,116.52,1.16,0.1,0.03,77.51
Shion,3.72,157.34,0.01,0.02,19.53
Kronii,119.35,0.56,0.37,0.01,54.62
Mumei,117.83,0.8,0.11,0.02,54.08
Kiara,106.67,2.12,0.78,0.07,61.85
Koyori,5.85,126.06,0.03,0.03,36.75
Amelia,93.11,0.35,0.06,0.05,70.98
Okayu,4.76,129,0.02,0.04,27.85
Fauna,109.09,0.7,0.01,0.01,49.91
Baelz,113.22,2.54,0.52,0.01,42
Fubuki,8.73,94.75,0.02,0.05,52.92
Calli,113.4,3.08,0.04,0.09,37.74
Nene,10.82,91.05,0.12,0.07,50.49
Noel,4.64,127.35,0.13,0.09,18.73
Iroha,6.34,100.1,0.02,0.03,35.64
Watame,5.98,80.73,0.01,0.03,48.61
Haato,14.45,84.01,0.04,0.05,36.3
Towa,13.4,80.68,0.25,0.02,37.34
Matsuri,8.73,96.16,0.04,0.06,16.61
Botan,9.46,74.97,0.02,0.25,31.58
Zeta,86.44,3.98,0.17,0.02,23.92
Mel,14.78,61.97,0.04,0.01,25.02
Luna,7.74,72.6,0.02,0.02,15.29
Sora,7.76,69.83,0.05,0.02,17.24
Flare,5.56,51.74,0.01,0.02,34.58
Lui,4.81,69.8,0.05,0.03,16.62
Choco,6.97,70.49,0.05,0.06,8.21
Polka,5.06,65.87,0.02,0.02,11.59
Kaela,65.38,0.14,0.02,0.01,6.36
Roboco,10.4,43.31,0.02,0.03,9.6
Moona,47.89,0.43,0.01,0.02,11.8
Aki,5.69,37.96,0.01,0.02,15.41
Ollie,51.07,1.25,0.06,0.01,6.09
Reine,37.62,0.26,0.01,0,11.73
Risu,37.79,0.78,0.01,0,6.05
Iofi,31.44,2.02,0.01,0,10
Anya,19.38,4.13,0.01,0.01,2.54
