streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Iroha,15.03,282.36,0.05,0.14,150.74
Marine,13.19,328.45,0.09,0.11,94.81
Gura,282.65,3.8,0.07,0.27,129.19
Subaru,10.21,342.12,0.01,0.05,41.21
Miko,9.81,268.63,0.03,0.03,91.89
Aqua,16.2,298.37,0.05,0.08,35.16
Raora,278.11,5.85,0.04,0.09,64.33
Pekora,14.15,282.37,0.04,0.06,46.8
Elizabeth,247.39,5.42,0.03,0.11,75.9
Korone,19.81,272.14,0.02,0.05,23.78
Lamy,8.85,227.12,0.02,0.05,62.34
AZki,7.52,201.96,0.03,0.06,66.6
Suisei,14.97,216.61,0.05,0.07,40.61
Kanata,10.22,216.9,0.03,0.06,40.33
Cecilia,237.91,1.6,0,0.06,27.63
Koyori,6.24,173.88,0.01,0.11,60.7
Laplus,9.78,137.02,0.12,0.05,93.94
Nene,11.57,143.66,0.06,0.09,75.63
Watame,6.26,135.32,0.03,0.03,75.73
FuwaMoco,117.8,6.55,0.01,0.03,86.05
Fauna,122.41,0.3,0.01,0.01,78.26
Fubuki,4.36,122.81,0.02,0.16,67.71
Sora,6.61,105.49,0.05,0.01,73.65
Chloe,3.84,142.12,0.02,0.03,36.75
Mumei,124.25,0.33,0.01,0.02,52.72
Noel,3.82,135.4,0.01,0.03,31.69
IRyS,102.21,6.49,0.01,0.01,53.02
Gigi,144.54,1.2,0.01,0.02,14.85
Hajime,6.24,106.71,0.04,0.03,44.69
Flare,3.85,97,0,0.02,54.22
Botan,6.35,105.91,0.01,0.12,41.42
Amelia,102.23,0.37,0.02,0.03,50.54
Raden,6.14,104.23,0.04,0.04,41.82
Okayu,2.94,114.17,0.02,0.03,33.22
Bijou,109.42,0.96,0.04,0.01,38.76
Kiara,101.4,1.31,0.06,0.02,42.47
Kobo,103.77,0.74,0.04,0.02,40.56
Ao,6.52,110.54,0.1,0.06,21.54
Matsuri,3.95,99.52,0.02,0.04,30.38
Polka,4.18,109.04,0.02,0.04,19.64
Kanade,11.36,60.25,4.48,0.01,54.39
Roboco,8.65,102.36,0.04,0.02,18.76
Lui,3.63,95.58,0.02,0.05,23.28
Luna,6.65,91.19,0.02,0.02,24.07
Ina,56.11,0.68,0.02,0.01,53.55
Towa,8.5,68.46,0.05,0.01,30.86
Ririka,12.94,76.8,0.02,0.02,15.33
Kronii,68.04,0.62,0.08,0.01,36.08
Baelz,67.95,2.44,0.09,0.01,32.19
Nerissa,66.36,6.42,0.02,0.04,24.35
Calli,69.06,1.33,0.02,0.02,25.92
Shiori,53.89,0.45,0,0.01,34.44
Kaela,57.25,0.3,0.01,0.01,16.92
Haato,8.38,43.21,0.02,0.03,22.68
Zeta,48.24,1.25,0.01,0,20.35
Risu,45.03,0.51,0,0,12.26
Aki,1.92,39.11,0,0.09,12.06
Ollie,42.73,0.85,0.01,0,9.21
Moona,38.59,0.23,0,0.02,9.78
Choco,3.31,35.51,0.02,0.03,7.16
Reine,24.48,0.54,0,0,14.12
Iofi,27.03,2.89,0,0,8.6
Anya,22.82,8.94,0,0,5.34
