streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Aqua,80.59,390.27,0.1,0.11,13.84
Marine,13.18,363.81,0.09,0.1,82.43
Miko,9.83,297.91,0.02,0.04,103.88
Subaru,8.89,316.05,0.01,0.04,39.42
Pekora,16.65,289.77,0.03,0.08,52.7
Gura,257.47,1.6,0.06,0.18,88.82
Shion,9.71,296.67,0.19,0.13,40.86
Suisei,15.87,250.86,0.03,0.07,68.09
AZki,10.24,178.96,0.02,0.04,97.52
Korone,13.48,230.49,0.04,0.05,19.18
Kanata,7.51,212.16,0.01,0.02,38.6
Lamy,7,195.59,0.04,0.07,48.48
Fubuki,6.16,158.82,0.02,0.07,81.21
FuwaMoco,102.51,15.8,0.03,0.03,116.58
Mumei,124.98,1.97,0.03,0.01,96.13
Fauna,134.25,0.23,0.01,0.01,82.1
Mio,3.53,113.87,0.03,0.05,87.09
Koyori,5.14,150.56,0.01,0.05,47.92
Bijou,132.48,1.58,0.01,0.01,59.52
Noel,3.93,149.64,0.03,0.04,37.15
Nerissa,120.71,2.13,0.02,0.01,60.48
Raden,7.98,140.61,0.02,0.04,34.23
Iroha,4.1,124.13,0.02,0.03,47.16
Watame,4.75,124.2,0.02,0.04,45.89
Chloe,3.39,122.36,0.02,0.03,47.71
Cecilia,112.77,0.24,0,0.02,53.01
Botan,5.93,112.58,0.01,0.09,41.24
Shiori,96.98,0.99,0.01,0,61.22
Ririka,11.24,122.97,0.02,0.04,24.7
IRyS,94.61,8.45,0.01,0.01,55.88
Ina,85.5,0.9,0.02,0.01,71.78
Polka,4.55,119.83,0.02,0.05,22.55
Okayu,3.2,109.78,0,0.01,33.91
Sora,6.1,88.73,0.04,0.02,49.58
Raora,75.64,0.94,0.01,0.01,67.15
Baelz,89.49,9.63,0.11,0.01,44.08
Ao,5.34,95.2,0.08,0.04,22.13
Laplus,8.1,75.33,0.05,0.02,37.8
Amelia,74.39,0.25,0.01,0,44.6
Kanade,9.79,51.1,3.46,0.01,50.61
Kronii,71.38,0.51,0.06,0,38.05
Kiara,67.18,1.27,0.07,0.01,41.1
Kobo,86.73,0.47,0.04,0.02,21.95
Lui,4.03,88.9,0.02,0.05,13.6
Luna,5.68,76.49,0.03,0.02,23.23
Elizabeth,61.22,0.46,0.01,0.01,42.91
Hajime,2.78,70.09,0.01,0.02,27.85
Ayame,5.94,59.52,0.01,0.01,32.86
Calli,66.79,1.07,0.03,0.01,28.23
Gigi,66.68,0.19,0.01,0,28.98
Towa,5.28,57.16,0.04,0.02,26.69
Kaela,67.3,0.28,0.02,0,19.06
Haato,6.32,49.28,0.01,0.01,25.86
Choco,3.43,68.83,0.01,0.05,7.49
Flare,2.11,48.98,0.01,0.01,26.73
Roboco,3.03,49.65,0.01,0.01,10.89
Zeta,39.37,1.57,0,0,17.22
Risu,42.54,0.26,0.01,0,13.34
Ollie,34.52,2.56,0.02,0.01,11.39
Aki,3,34.26,0,0.03,9.6
Anya,16.83,23.04,0.02,0.01,6.71
Moona,31.65,0.23,0,0,10.03
Iofi,27.01,2.16,0.01,0,7.42
Reine,24.3,0.43,0.01,0,10.56
Matsuri,1.18,17.51,0,0,5.97
