streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Gura,291.24,3.9,0.68,0.42,101.59
Aqua,22.57,273.28,0.07,0.14,71.83
Marine,24.77,292.37,0.22,0.15,36.18
Pekora,34.24,259.37,0.08,0.11,46.19
Rushia,13.54,234.93,0.16,0.15,26
Subaru,10.24,242.96,0.02,0.05,17.6
Suisei,25.3,180.33,0.03,0.05,59.6
Miko,15.12,183.77,0.08,0.07,60.94
Korone,26.14,197.31,0.03,0.06,24.95
Mio,10.35,138.14,0.02,0.05,93.96
Ina,155.34,1.64,0.17,0.06,77.1
Amelia,137.41,0.69,0.25,0.07,94.71
Kronii,201.47,1.63,1.25,0.07,27.34
Okayu,8.23,173.15,0.03,0.08,45.3
Lamy,11.26,165.86,0.02,0.06,44.01
Kanata,8.52,155.4,0.04,0.06,52.87
Haato,55.15,108.56,0.07,0.11,51.13
Ayame,14.77,121.89,0.09,0.11,77.97
IRyS,166.28,5.83,0.07,0.03,42.02
Shion,6.93,171.94,0.03,0.02,20.21
Mumei,175.21,1.17,0.1,0.08,20.52
AZki,34.9,56.47,0.02,0.04,99.79
Noel,7.01,140.13,0.06,0.11,32.84
Botan,19.24,107.57,0.02,1.2,46.01
Fauna,146.55,1.04,0.04,0.17,25.48
Watame,8.52,97.96,0.03,0.05,60.56
Baelz,134.43,11.41,0.4,0.09,18.03
Kiara,119.59,4.73,0.23,0.06,32.41
Fubuki,14.31,94.32,0.04,0.13,44.73
Calli,118.78,1.12,0.1,0.03,26.69
Nene,14.52,92.42,0.11,0.04,37.07
Sora,11.7,94.45,0.06,0.05,28.81
Polka,9.63,78.14,0.03,0.03,34.79
Towa,26.47,67.17,0.08,0.02,26.48
Sana,96.67,0.99,0.02,0.02,15.6
Matsuri,10.12,88.58,0.05,0.06,13.01
Flare,8.03,70.46,0.02,0.03,32.53
Luna,11.46,66.39,0.01,0.02,20.25
Reine,67.34,0.57,0,0.01,13.21
Moona,60.4,1.55,0.01,0.22,17.21
Roberu,12,60.63,0,0.01,3.41
Ollie,62.97,2.46,0.4,0.04,9.1
Aki,17.18,44.06,0,0.05,11.75
Choco,11.6,53.02,0.01,0.03,7.01
Roboco,10.57,48.16,0.01,0.03,8.07
Astel,25.41,19.43,0.01,0.04,7.34
Mel,6.34,37.5,0,0.02,7.99
Risu,45.57,0.77,0,0.02,4.96
Iofi,40.68,2.71,0.02,0.01,7.27
Oga,4.73,24.72,0,0.02,13.77
Shien,11.98,22.54,0.01,0.03,8.09
Rikka,8.25,20.38,0.01,0.01,9.23
Temma,8.44,16.33,0.01,0.01,6.73
Anya,20.79,4.91,0,0.01,2.24
Miyabi,6.72,17.49,0,0.01,2.91
Aruran,4.83,13.86,0,0.01,2.38
Izuru,5.6,12.84,0.01,0.03,1.97
