streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Miko,9.92,323.85,0.03,0.03,116.45
Suisei,19.69,318.84,0.02,0.13,65.04
Marine,12.1,295.03,0.06,0.1,70.71
Pekora,13.62,279.96,0.02,0.13,47.35
Subaru,6.61,294.27,0.06,0.03,32.42
Korone,17.05,244.67,0.11,0.02,37.02
Gura,205.45,0.89,0.02,0.22,81.65
Mio,5.93,186.83,0.02,0.05,92.76
AZki,4.98,222.15,0.19,0.05,48.52
Nene,14.72,177.49,0.01,0.05,82.52
Kanata,7.25,227.69,0.05,0.04,29.97
Lamy,6.22,193.77,0.02,0.04,37.96
Fubuki,6.2,147.35,0.02,0.07,82.05
FuwaMoco,93.93,24.71,0.06,0.1,98.18
Noel,4.37,156.64,0.05,0.03,49.26
Koyori,6.35,148.59,0.02,0.05,46.79
Ina,110.39,1.47,0.03,0,85.15
Mumei,128.85,0.65,0.02,0.01,65.35
Okayu,4.38,140.6,0.01,0.02,47.27
Raden,7.77,119.73,0.11,0.05,62.32
Iroha,4.9,131.02,0.06,0.03,48.03
Ririka,8.23,156.14,0.13,0.05,16.55
Shion,5.25,150.47,0.02,0.04,23.27
Kanade,16.99,90,4.15,0.02,62.95
Hajime,8.23,130.84,0.05,0.02,32.77
Botan,6.08,126.67,0,0.06,36.07
Baelz,101.16,4.42,0.12,0.01,57.33
Kobo,109.55,0.93,0.02,0.01,46.23
Cecilia,102.68,0.14,0,0.02,51.7
Nerissa,108.31,0.24,0,0.01,40.56
Sora,4.9,92.28,0.04,0.09,49.14
Kronii,101.51,0.53,0.1,0.01,44.21
Fauna,91.98,0.14,0,0,53.67
Bijou,99.64,0.51,0.01,0.01,44.65
Ayame,29.23,89.9,0.01,0.05,25.54
IRyS,93.53,7.26,0.01,0.02,43.13
Towa,6.42,104.79,0,0.03,25.77
Ao,7.61,111.36,0.14,0.06,17.5
Watame,3.1,96.53,0.01,0.02,36.29
Lui,4.58,106.53,0.03,0.04,18.63
Luna,6.17,90.84,0.02,0.02,27.37
Kiara,70.77,0.41,0.03,0.01,40.6
Gigi,79,0.08,0,0.01,31.27
Raora,63.07,0.58,0,0.01,44.28
Chloe,2.23,85.82,0.01,0.02,19.62
Zeta,64.98,9.08,0.01,0.01,31.08
Calli,77.83,1.2,0.02,0.01,24.79
Roboco,9.74,72.85,0.03,0.02,18.66
Shiori,63.71,0.25,0,0,32.02
Matsuri,3.28,69.51,0.02,0.03,20.19
Laplus,4.02,66.3,0.02,0.02,20.51
Elizabeth,58.34,0.43,0,0.01,31.89
Polka,2.75,63.96,0,0.02,9.23
Flare,1.97,37.36,0,0,22.47
Kaela,42.29,0.17,0.01,0,9.08
Ollie,29.78,1.12,0.02,0,14.37
Risu,33.72,0.36,0.01,0,10.37
Haato,5.66,21.95,0,0.01,15
Choco,2.21,34.99,0.01,0.08,4.45
Aki,1.64,29.35,0,0.01,9.95
Anya,19.39,4.06,0,0,5.44
Iofi,22.92,1.02,0.01,0,4.02
Reine,17.72,0.22,0,0,7.16
Moona,14.74,0.1,0,0,4.31
