streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,13.51,396.52,0.06,0.09,78.05
Suisei,22.82,326.47,0.15,0.18,85.87
Miko,10.93,320.56,0.05,0.02,90
Pekora,16.47,348.59,0.05,0.06,48.7
Kanata,8.63,260.38,0.01,0.03,61.62
Laplus,19.08,178.14,0.17,0.12,131.78
Subaru,8.11,287.7,0.01,0.02,31.22
Gura,247.15,2.23,0.11,0.3,66.48
Fubuki,11.03,188.58,0.02,0.06,91.91
Aqua,16.98,251.25,0.03,0.05,21.36
Lamy,7.3,217.78,0.02,0.06,50.4
Korone,18.79,236.88,0.04,0.02,19.67
AZki,6.42,146.3,0.02,0.03,94.76
Amelia,146.77,0.59,0.04,0.02,79.06
Mumei,124.47,1.53,0.04,0.04,86.41
Sora,12.17,144.83,0.05,0.19,53.23
FuwaMoco,102.23,25.88,0.01,0.02,78.65
Koyori,5.09,144.69,0.01,0.11,48.35
Fauna,119.05,0.25,0,0.01,72.22
Watame,4.55,117.86,0.02,0.04,60.62
Nene,9.91,116.44,0.04,0.08,46.33
Chloe,3.9,122.81,0.03,0.04,41.85
Okayu,3.66,128.31,0.02,0.04,32.52
Towa,7.52,121.99,0.06,0.02,34.02
Roboco,8.49,130.35,0.05,0.02,24.46
Noel,3.87,129.97,0.02,0.04,27.16
Bijou,109.16,1.19,0.01,0.01,40.22
Polka,5.48,121.11,0.02,0.03,13.59
Ririka,10.37,99.16,0.02,0.03,23.5
Kanade,10.09,70.66,3.63,0.01,48.59
Nerissa,90.45,1.06,0.03,0.03,36.97
Botan,4.08,90.61,0.01,0.1,32.91
IRyS,77.28,7.25,0.01,0.01,39.55
Kobo,85.96,1.11,0.03,0.02,36.9
Ina,60.34,1.75,0.03,0.01,59.9
Baelz,80.9,3.79,0.18,0.01,36.02
Matsuri,4.49,77.87,0.05,0.07,38.13
Lui,3.24,97.66,0.01,0.05,16.57
Hajime,6.67,77.6,0.04,0.04,32.8
Iroha,3.28,84.61,0.02,0.05,29.16
Shiori,72.05,2.16,0.01,0.01,42.24
Kronii,75.42,0.52,0.06,0.01,39.81
Raden,5.03,84.43,0.01,0.02,23.43
Calli,71.78,9.14,0.03,0.01,31.12
Ayame,6.77,64.68,0.04,0.01,35.82
Luna,6.27,81.26,0.01,0.02,15.53
Kiara,65.72,2.89,0.49,0.01,31.74
Ao,4.02,76.27,0.05,0.02,15.33
Flare,2.53,57.46,0,0.01,33.01
Kaela,59.97,0.7,0.01,0.01,13.62
Haato,6.03,28.29,0.01,0.01,17.65
Ollie,38.41,2.11,0.02,0.01,10.81
Aki,2.22,37.1,0,0,11.89
Risu,37.75,0.48,0.01,0.01,10.81
Zeta,29.99,1.59,0,0,13.23
Choco,2.57,31.63,0.03,0.02,4.84
Reine,24.4,2.34,0,0,12.26
Iofi,25.59,3.26,0,0,7.43
Moona,24.38,0.41,0,0.01,5.95
Anya,15.54,3.8,0,0,3.78
