streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Gura,358.64,10.58,0.11,0.32,133.00
Aqua,14.40,280.38,0.02,0.15,43.66
Marine,11.53,254.63,0.11,0.19,67.77
Laplus,15.66,185.22,0.08,0.16,126.10
Miko,10.28,241.65,0.02,0.01,75.06
Lamy,8.72,263.30,0.03,0.06,47.69
Kanata,8.45,233.97,0.02,0.01,66.21
AZki,12.33,175.73,0.04,0.05,107.17
Pekora,10.07,248.71,0.05,0.05,33.46
Suisei,16.39,202.93,0.04,0.05,48.31
Haato,19.47,186.76,0.02,0.16,53.23
Subaru,4.88,226.23,0.00,0.01,23.27
Mio,5.82,182.74,0.01,0.02,62.92
Chloe,6.50,168.72,0.05,0.06,59.06
Shion,8.64,197.54,0.00,0.02,15.36
FuwaMoco,117.14,7.76,0.01,0.01,82.83
Koyori,5.04,144.90,0.01,0.02,53.58
Kanade,16.12,142.16,5.19,0.03,36.91
Nene,7.93,115.18,0.03,0.05,61.14
Kobo,113.30,10.26,0.02,0.01,58.19
Fauna,99.46,0.16,0.00,0.00,70.81
Hajime,5.58,136.49,0.05,0.03,25.91
Raden,6.26,137.33,0.02,0.05,23.27
Botan,8.15,101.44,0.01,0.21,55.42
Watame,4.95,107.66,0.01,0.02,51.36
Iroha,5.81,102.93,0.01,0.03,54.00
Ririka,7.30,142.24,0.02,0.03,12.30
Fubuki,5.96,100.98,0.02,0.05,54.72
Noel,3.99,131.44,0.01,0.02,25.70
Okayu,3.57,117.94,0.01,0.01,25.65
Shiori,100.18,0.53,0.00,0.00,43.88
Ao,6.52,112.85,0.05,0.06,18.89
Luna,8.22,107.25,0.01,0.04,21.93
Polka,5.18,107.69,0.00,0.02,24.34
Lui,3.11,107.65,0.18,0.06,20.40
Bijou,100.66,0.68,0.01,0.01,27.86
IRyS,73.44,10.94,0.01,0.00,42.92
Mumei,84.53,0.37,0.01,0.01,40.36
Amelia,66.08,0.22,0.01,0.01,55.88
Korone,8.60,104.78,0.01,0.02,7.58
Sora,6.46,91.51,0.02,0.01,22.34
Kiara,67.57,6.03,0.04,0.01,36.33
Flare,2.27,62.80,0.01,0.00,37.80
Calli,70.63,1.48,0.01,0.01,19.61
Kronii,58.85,0.23,0.04,0.01,31.38
Ina,42.83,0.61,0.01,0.00,46.57
Baelz,56.86,3.30,0.08,0.01,29.71
Nerissa,70.27,0.40,0.01,0.00,18.14
Zeta,51.99,2.94,0.01,0.01,32.63
Towa,4.82,55.88,0.03,0.01,21.10
Matsuri,3.75,50.92,0.01,0.04,22.35
Mel,3.72,54.90,0.00,0.00,13.93
Ayame,9.24,42.43,0.00,0.01,18.53
Moona,59.44,0.25,0.00,0.01,8.29
Roboco,7.02,37.30,0.03,0.01,14.42
Aki,3.54,42.49,0.00,0.00,11.46
Ollie,33.02,0.41,0.01,0.00,8.01
Choco,2.03,33.37,0.01,0.03,2.21
Kaela,28.46,0.15,0.00,0.00,8.57
Anya,10.77,20.43,0.00,0.00,3.47
Reine,23.64,0.50,0.01,0.00,10.18
Risu,24.57,0.11,0.00,0.00,6.00
Iofi,21.24,1.20,0.00,0.00,5.28
