streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Laplus,40.30,617.01,0.34,0.54,109.22
Gura,480.43,22.14,0.82,1.00,233.08
Suisei,24.82,419.50,0.09,0.29,78.46
Marine,15.09,350.01,0.08,0.07,65.30
Miko,11.04,244.72,0.03,0.04,76.90
Risu,256.65,5.75,0.02,0.02,66.74
Kanata,11.62,257.77,0.02,0.06,48.38
Aqua,26.70,234.53,0.04,0.08,56.43
Pekora,14.09,253.02,0.02,0.05,49.55
Subaru,8.55,263.61,0.01,0.03,27.28
Kobo,208.40,0.66,0.08,0.03,75.83
Ina,135.11,8.55,0.06,0.03,134.78
Lamy,6.60,224.48,0.02,0.10,45.49
AZki,21.02,193.12,0.01,0.06,40.67
Mio,6.61,163.93,0.02,0.04,79.48
Chloe,6.28,169.11,0.05,0.09,62.80
Shion,7.42,196.31,0.02,0.05,26.46
Koyori,5.64,151.44,0.05,0.03,58.90
Amelia,109.72,1.73,0.03,0.06,90.83
Korone,14.87,157.55,0.01,0.04,14.46
Okayu,3.60,140.78,0.03,0.04,36.42
Iroha,5.28,123.58,0.01,0.03,45.47
Baelz,114.05,5.84,0.41,0.01,53.79
Ayame,5.10,127.71,0.02,0.12,41.13
Fauna,104.84,0.33,0.01,0.05,68.80
Fubuki,5.67,108.07,0.03,0.07,57.21
Zeta,119.95,3.61,0.07,0.03,47.07
Kiara,105.20,7.29,0.07,0.02,51.66
Mumei,106.99,0.39,0.02,0.01,54.08
Calli,112.12,7.80,0.02,0.06,39.92
Noel,3.76,128.55,0.04,0.05,24.59
Botan,12.29,96.73,0.01,0.51,47.22
Nene,8.58,109.07,0.02,0.05,37.25
IRyS,95.98,4.83,0.01,0.01,53.36
Watame,5.88,96.11,0.02,0.03,51.63
Polka,5.33,124.78,0.05,0.04,21.15
Haato,16.56,72.06,0.03,0.03,47.81
Towa,12.00,79.38,0.05,0.01,36.06
Kronii,85.73,0.20,0.06,0.00,37.68
Luna,6.59,90.20,0.01,0.03,25.25
Sora,10.10,82.48,0.06,0.03,21.78
Choco,7.13,81.95,0.02,0.03,22.21
Lui,6.20,80.35,0.03,0.03,18.25
Mel,4.96,70.58,0.07,0.04,28.27
Ollie,79.69,1.81,0.03,0.01,17.71
Roboco,10.39,72.40,0.03,0.03,12.01
Aki,8.65,64.71,0.03,0.02,18.43
Flare,1.73,58.27,0.01,0.01,27.77
Matsuri,4.86,65.32,0.02,0.07,11.36
Kaela,60.15,0.25,0.01,0.01,18.30
Reine,49.82,0.74,0.00,0.00,27.37
Moona,54.92,0.81,0.00,0.04,21.69
Iofi,39.61,3.72,0.01,0.01,11.22
Anya,29.56,4.98,0.00,0.01,7.74
