streamer,misc_rate,jp_rate,kr_rate,ru_rate,emo_rate
Marine,24.26,308.84,0.17,0.11,51.96
Mumei,300.36,2.40,0.26,0.52,27.93
Kronii,313.10,1.89,0.72,0.18,14.59
Aqua,19.49,237.23,0.07,0.10,70.46
Shion,13.64,264.29,0.06,0.05,47.35
Pekora,19.46,258.87,0.05,0.07,44.54
Gura,243.63,3.62,0.86,0.94,57.50
Suisei,35.67,173.18,0.04,0.07,95.69
Miko,21.15,201.07,0.07,0.08,75.91
Rushia,14.45,246.64,0.15,0.16,32.49
Fauna,260.06,2.94,0.06,0.55,25.04
Baelz,239.08,21.94,0.54,0.33,20.60
Subaru,13.96,247.97,0.01,0.07,14.23
Haato,81.68,88.00,0.13,0.14,84.30
Mio,12.86,169.08,0.04,0.05,71.27
Amelia,155.64,0.86,0.21,0.09,92.93
Ayame,25.30,127.23,0.09,0.08,72.54
Korone,20.18,177.90,0.02,0.06,18.80
Kanata,10.33,161.10,0.04,0.05,41.28
Sana,184.35,2.19,0.10,0.07,20.63
IRyS,159.69,6.14,0.31,0.04,40.38
Nene,18.02,109.30,0.08,0.04,77.47
Lamy,7.97,158.75,0.03,0.05,32.41
Okayu,8.09,154.63,0.02,0.07,32.79
Ina,137.46,1.29,0.15,0.07,50.33
Kiara,157.57,4.86,2.06,0.09,21.02
Noel,6.83,138.16,0.05,0.09,25.00
Polka,13.66,89.53,0.04,0.05,47.53
Watame,9.73,83.49,0.03,0.07,56.33
Botan,13.15,93.92,0.01,1.02,31.05
Fubuki,11.69,90.19,0.06,0.12,34.95
Flare,10.43,82.05,0.02,0.03,41.48
Calli,91.51,1.73,0.12,0.04,22.16
Towa,24.76,61.29,0.11,0.03,23.27
AZki,19.29,57.31,0.02,0.03,24.90
Luna,12.01,61.71,0.02,0.03,26.57
Ollie,82.43,1.87,1.20,0.05,11.11
Reine,77.47,1.45,0.01,0.02,13.89
Iofi,61.61,15.12,0.02,0.02,13.25
Sora,9.63,67.29,0.04,0.05,12.28
Mel,15.84,57.68,0.01,0.06,12.34
Moona,56.81,3.12,0.01,0.81,13.00
Matsuri,6.91,57.20,0.02,0.04,9.54
Aki,18.28,38.73,0.00,0.03,9.10
Roberu,11.61,41.00,0.00,0.02,2.60
Risu,45.78,0.97,0.07,0.04,5.84
Roboco,11.44,33.17,0.00,0.03,5.59
Shien,10.71,27.24,0.01,0.06,9.58
Astel,25.16,18.77,0.00,0.01,2.49
Oga,4.58,24.22,0.01,0.02,12.65
Anya,32.71,4.53,0.00,0.01,3.85
Miyabi,7.93,20.69,0.00,0.01,1.57
Aruran,8.62,17.42,0.00,0.01,3.34
Choco,5.97,16.82,0.00,0.01,0.54
Rikka,4.62,10.78,0.00,0.01,3.32
Temma,4.02,10.38,0.00,0.01,3.81
Izuru,4.08,8.60,0.00,0.01,0.92
