streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Gura,276.46,8.21,0.18,0.31,281.97
Kanata,19.60,376.51,0.07,0.07,162.76
Marine,13.39,285.68,0.09,0.22,65.96
Miko,9.73,251.54,0.04,0.03,65.99
Aqua,24.58,266.51,0.08,0.06,33.48
Suisei,18.82,239.44,0.03,0.06,52.95
Pekora,11.50,232.84,0.02,0.07,36.15
Subaru,5.12,239.90,0.01,0.03,27.20
Shion,8.56,221.48,0.10,0.11,38.20
AZki,24.26,137.63,0.06,0.04,78.53
Fauna,127.83,0.43,0.01,0.02,80.64
Koyori,5.07,151.80,0.07,0.04,50.51
Chloe,4.95,146.46,0.03,0.08,55.46
Lamy,6.65,159.87,0.06,0.05,38.94
Mio,6.07,120.27,0.03,0.05,70.04
Iroha,5.87,121.09,0.02,0.03,59.56
Kobo,120.39,0.19,0.01,0.02,56.56
Korone,11.33,146.63,0.02,0.03,11.85
Botan,8.62,115.89,0.02,0.17,39.17
Noel,3.87,127.10,0.03,0.04,31.20
Watame,5.28,91.81,0.02,0.04,64.45
Laplus,6.71,100.32,0.03,0.05,47.28
Okayu,3.49,116.84,0.01,0.06,29.06
Fubuki,6.16,96.95,0.03,0.07,45.44
Ayame,9.91,89.29,0.01,0.01,43.66
Kronii,88.24,0.34,0.05,0.01,50.90
Nene,5.81,94.91,0.02,0.03,37.51
Ina,63.41,0.92,0.03,0.01,72.52
Mumei,80.91,0.50,0.01,0.00,52.45
IRyS,83.21,7.32,0.01,0.01,41.32
Lui,3.57,103.26,0.13,0.03,19.89
Amelia,66.95,0.61,0.01,0.02,58.12
Kiara,69.49,2.06,0.10,0.01,39.66
Calli,81.51,2.65,0.02,0.03,23.30
Sora,4.88,67.42,0.06,0.02,28.84
Flare,2.79,57.99,0.01,0.01,38.62
Towa,6.41,63.03,0.03,0.01,26.94
Luna,4.93,73.81,0.01,0.06,14.10
Baelz,60.14,1.88,0.13,0.01,30.10
Choco,5.47,59.89,0.05,0.04,15.48
Matsuri,4.05,63.44,0.02,0.03,12.50
Polka,2.32,56.11,0.00,0.02,7.46
Zeta,45.46,1.06,0.03,0.00,16.95
Aki,3.93,38.15,0.01,0.03,15.46
Mel,3.65,39.03,0.01,0.01,9.58
Kaela,37.42,0.14,0.01,0.01,10.94
Iofi,35.20,3.78,0.02,0.00,8.82
Roboco,5.82,30.72,0.01,0.01,9.92
Reine,27.93,0.65,0.00,0.00,12.94
Ollie,31.95,0.77,0.02,0.01,6.92
Risu,29.95,0.27,0.00,0.00,4.72
Moona,20.37,0.18,0.00,0.01,6.59
Anya,15.13,2.65,0.00,0.00,4.98
