streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Miko,10.71,332.85,0.02,0.01,124.62
Gura,262.47,1.16,0.02,0.13,112.63
Marine,14.17,278.28,0.06,0.08,72.1
Subaru,8.47,317.64,0.04,0.04,38.42
Pekora,17.27,304.51,0.05,0.09,41.67
Shion,12.98,266.36,0.1,0.03,45.09
Lamy,9.13,230.12,0.04,0.09,51.42
AZki,9.57,216.31,0.02,0.04,45.51
Amelia,154.8,0.79,0.05,0.03,115.43
Fubuki,8.29,179.62,0.02,0.1,73.53
Kanata,7.86,207.95,0.01,0.02,42.49
Mio,4.47,152.01,0.02,0.02,90.68
Korone,13.04,202.24,0.01,0.01,15.2
Suisei,13.64,173.29,0.01,0.03,38.18
Koyori,6.23,150.67,0.02,0.03,54.38
Okayu,4.55,152.35,0.02,0.01,54.25
Fauna,135.46,0.19,0,0,71.41
Watame,4.69,144.76,0.16,0.08,57.31
Raden,9.26,129.63,0.05,0.07,62.82
Kobo,163.28,0.62,0.03,0,37.62
Kanade,7.67,85.31,5.17,0.05,85.2
Ririka,8.87,140.58,0.08,0.05,23.69
Sora,7,107.69,0.07,0.02,54.25
Bijou,120.37,0.95,0.01,0.01,44.59
Cecilia,112.4,0.18,0,0.01,46.48
Chloe,3.59,120.88,0.02,0.07,33.7
Kronii,93.16,1.34,0.09,0.01,56.56
Iroha,3.39,102.38,0.01,0.04,44.47
Botan,5.96,101.34,0,0.06,40.15
Ina,71.06,1.74,0.01,0,68.5
Noel,2.95,106.2,0.01,0.02,29.55
Ayame,5.01,98.48,0.03,0.02,33.72
Kiara,83.3,0.68,0.05,0,53.2
FuwaMoco,63.62,11.7,0.01,0.02,61.08
Luna,5.42,109.27,0.01,0.06,18.61
Polka,4.83,114.46,0.01,0.03,13.92
Hajime,5.37,90.83,0.02,0.02,34.77
IRyS,68.23,6.36,0,0,46.91
Towa,6.42,80.34,0.01,0.01,30.35
Mumei,74.46,0.82,0.01,0.01,41.37
Nerissa,77.12,0.37,0.01,0,37.76
Gigi,81.92,0.09,0,0,31.73
Laplus,5.34,77.2,0.02,0.01,30.82
Ao,5.05,85.85,0.07,0.03,18.84
Raora,61.09,0.57,0.01,0.01,47.09
Elizabeth,78.69,0.21,0,0,29.1
Lui,3.08,78.81,0.06,0.06,16.7
Calli,72.53,1.19,0.02,0.01,24.83
Shiori,62.61,0.97,0,0,31.85
Risu,51.67,0.31,0,0,14.63
Aki,3.22,47.96,0,0.01,11.72
Flare,2.31,38.95,0.03,0.01,21.34
Baelz,35.96,2.12,0.07,0,24.48
Roboco,3.64,45.65,0.01,0,12.67
Haato,5.93,34.85,0.01,0.01,17.42
Kaela,44.14,0.25,0.01,0,11.11
Zeta,36.31,2.43,0.01,0,15.53
Choco,3.41,39.34,0.01,0.05,8.77
Reine,30.1,1.05,0.01,0,20.18
Matsuri,2.48,39.69,0.12,0.06,6.08
Moona,33.48,0.17,0,0,9.59
Iofi,26.53,1.88,0.01,0,5.06
Ollie,21.67,0.5,0.01,0,5.7
Anya,13.98,2.73,0,0,4.01
