streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Suisei,28.32,367.54,0.13,0.1,112.11
Miko,12.73,321.29,0.02,0.02,149.38
Marine,12.17,360.35,0.12,0.16,55
Subaru,9.01,307.59,0.01,0.02,36.14
Aqua,11.83,275.46,0.07,0.04,19.66
Lamy,10.05,218.53,0.04,0.07,60.73
Pekora,13.68,226.63,0.08,0.03,42.15
Amelia,163.08,1.67,0.02,0.02,110.48
FuwaMoco,133.33,17.77,0.01,0.03,123.65
AZki,8.64,172.03,0.04,0.05,84.35
Fubuki,8.61,151.98,0.02,0.06,85.11
Iroha,8.94,165.26,0.02,0.06,68.9
Kanata,5.44,187.53,0.01,0.02,48.57
Korone,11.23,197.37,0.01,0.02,13.38
Botan,7.31,161.09,0.01,0.14,45.89
Laplus,10.56,121.95,0.11,0.07,81.37
Fauna,135.29,0.25,0,0.01,75.13
Koyori,4.85,138.75,0.02,0.03,58.24
Hajime,6.3,151.44,0.12,0.07,38.44
IRyS,81.98,24.77,0.02,0.03,88.24
Kobo,116.9,1.58,0.04,0.01,60.29
Watame,4.28,113.22,0.04,0.04,60.69
Noel,4.28,138.88,0.03,0.02,30.83
Kanade,11.15,70.51,3.69,0.04,84.67
Nene,6.63,113.4,0.05,0.07,48.11
Chloe,4.42,128.45,0.03,0.03,34.18
Nerissa,122.23,2.35,0.01,0.01,39.45
Mumei,95.95,0.97,0.02,0.01,64.3
Baelz,88.35,2.7,0.08,0.01,69.72
Mio,3.31,102.01,0.01,0.01,52.86
Sora,8.37,110.45,0.06,0.01,37.89
Ayame,3.45,119.58,0.01,0.02,33.08
Shiori,101.85,0.71,0.01,0,49.42
Bijou,107.98,1.46,0.01,0.01,40
Okayu,3.62,118.17,0.01,0.05,26.71
Kronii,83.87,0.74,0.08,0.01,60.25
Kiara,78,1.22,0.07,0.01,58.84
Ao,5.83,105.65,0.06,0.05,25.31
Ina,67.19,1.08,0.04,0.01,67.6
Luna,7.95,92.66,0.04,0.03,31.79
Towa,6.58,87.64,0.03,0.01,35.04
Polka,5.48,105.86,0.02,0.12,15.31
Ririka,13.11,99.14,0.03,0.03,13.49
Matsuri,4.15,92.08,0.02,0.06,23.2
Raden,3.61,85.73,0.01,0.02,25.64
Flare,3.52,58.61,0.01,0.02,36.18
Zeta,56.56,2.64,0.02,0,35.36
Lui,3.53,74.87,0.01,0.02,15.67
Calli,62.8,2.36,0.01,0.02,22.74
Kaela,56.98,0.17,0.01,0.01,16.13
Haato,11.74,36.63,0.01,0.03,19.31
Roboco,4.73,49.29,0.04,0.02,13.34
Aki,2.9,40.78,0,0,14.02
Moona,44.35,0.57,0.01,0.02,11.8
Risu,37.35,0.73,0.01,0.01,17.51
Ollie,34.07,3.05,0.01,0,10
Iofi,36.07,1.62,0,0,5.04
Reine,24.08,3.12,0.01,0,14.75
Anya,21.68,9.39,0.01,0,10.7
Choco,2.71,31.62,0.02,0.02,3.11
