streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,16.27,324.73,0.05,0.13,89.42
Amelia,311.77,1.03,0.04,0.01,80.2
Miko,8.03,262.98,0.03,0.02,104.97
Subaru,7.78,286.06,0.03,0.03,40.1
Pekora,12.56,264.66,0.1,0.06,40.91
Aqua,10.66,231.57,0.02,0.03,14.79
Lamy,7.27,194.09,0.08,0.04,47.02
Suisei,14.2,168.95,0.02,0.01,55.1
AZki,6.66,159.83,0.01,0.03,67.94
Mio,3.91,149.65,0.01,0.03,80.81
Fauna,130.76,0.27,0,0.01,80.53
FuwaMoco,101.85,14.99,0.03,0.04,90.17
Kanata,6.33,169.52,0.01,0.01,30.82
Koyori,4.59,137.85,0.01,0.09,54.5
Bijou,134.11,1.39,0.08,0.01,57.19
Raora,131.39,2.29,0.01,0.03,57.52
IRyS,113.23,7.95,0.01,0.03,64.36
Fubuki,4.11,112.28,0.01,0.06,57.2
Korone,10.51,147.69,0.04,0.03,14.84
Watame,4.55,114.4,0.06,0.04,53.84
Cecilia,148.41,0.37,0,0.03,23.52
Chloe,3.8,122.56,0.01,0.02,39.42
Kobo,129.14,0.64,0.02,0.02,34.95
Sora,6.1,96.29,0.05,0.02,57.08
Nene,10.5,93.17,0.06,0.1,55.18
Shiori,94.84,0.94,0,0.01,63.13
Nerissa,107.65,0.96,0.02,0.01,46.33
Okayu,2.94,115.76,0.01,0.04,33.59
Kiara,89.49,2.11,0.1,0.05,54.95
Botan,5.53,100.73,0.01,0.1,39.2
Raden,8.06,106.7,0.08,0.03,29.28
Matsuri,5.45,108.29,0.12,0.06,20.43
Noel,3.5,102.09,0.02,0.02,25.86
Mumei,85.56,0.36,0.02,0.01,37.49
Iroha,2.94,79.54,0.01,0.03,33.59
Ina,63.49,0.6,0.02,0.01,49.67
Luna,6.22,85.24,0.04,0.03,20.52
Polka,2.97,89.06,0.02,0.03,18.07
Ririka,8.47,78.16,0.07,0.03,22.83
Baelz,78.57,2.63,0.07,0.01,26.54
Kanade,6.78,52.17,4.1,0.02,42.12
Kronii,68.52,0.61,0.07,0.01,35.82
Lui,2.36,77.82,0.03,0.04,17.74
Gigi,82.42,0.22,0,0.01,14.66
Elizabeth,70.14,0.6,0.01,0.03,22.79
Ao,3.18,72.91,0.06,0.04,14.44
Calli,67.63,2.19,0.02,0.01,20.59
Kaela,64.91,0.22,0.01,0,17.8
Zeta,59.29,1.22,0,0.01,19.71
Risu,56.47,0.48,0.01,0,20.61
Hajime,2.32,56.06,0.01,0.02,17.9
Flare,2.06,47.03,0.01,0.01,26.57
Haato,11.03,42.36,0.03,0.02,16.58
Iofi,41.6,3.82,0.02,0,19.57
Moona,45.38,0.47,0.02,0,18.72
Ollie,48.32,2.02,0.02,0.02,12.6
Towa,2.93,45.08,0.01,0.01,14.23
Ayame,5.39,36.13,0.02,0.01,14.6
Roboco,2.57,43.28,0.01,0.01,9
Aki,2.59,43.79,0.01,0.03,8
Laplus,4.91,30.22,0.03,0.01,16.96
Reine,21.7,0.7,0.01,0,10.52
Choco,1.6,25.82,0.01,0.01,3.03
Anya,13.21,6.26,0.01,0,4.52
