streamer,misc_rate,jp_rate,kr_rate,ru_rate,emo_rate
Haato,147.368421052632,291.929824561404,0,0,241.052631578947
Shion,13.7679932260796,501.541066892464,0.050804403048264,0.101608806096528,78.1371718882303
Coco,55.5660440838612,140.714800680579,0.05210085649194,0.070941756625556,234.386180776514
Gura,298.68741053029,4.72809073605059,0.813289496452673,1.30881404458148,104.158945397914
Aqua,29.2283067072983,274.401452888848,0.057253670699049,0.071413180656878,97.3854157047434
Pekora,21.865264354747,292.038800454804,0.05031267765776,0.142978965321205,71.4606310403638
Suisei,58.8042648092139,157.469220664162,0.155806067271561,0.109369749182782,124.314911557144
Mio,18.5864093959732,219.989674754775,0.030007743933919,0.20521424883841,91.5816985028394
Marine,42.6968956784882,246.370162005259,0.501838503461923,0.094263046267445,27.6516157509062
Miko,24.7483975205925,182.482653962598,0.03216283757767,0.073612128258752,78.4832126597761
Korone,48.7414996299554,203.221906640266,0.036500734276979,0.088810703782205,30.9130995788079
Subaru,14.7051610387209,224.002106710516,0.020504243574332,0.067060937807815,13.4556083126616
Rushia,16.7004760695353,199.028731688074,0.212042776009554,0.18253835304798,24.9821406377494
Amelia,151.319261114354,1.09522285197808,0.19906980247425,0.1104939085243,83.9760483552074
Ina,149.59783464803,1.78617549106233,0.155204880837675,0.096193442373891,50.5454559992963
Kanata,21.736030226414,127.305474276299,0.024147041277237,0.09232692253061,48.0974972301923
Okayu,10.1340706731404,156.855866692092,0.040045179176507,0.086251155149399,27.2597655963505
Calli,139.927976533445,2.73152270703473,0.178749148813577,0.208999004766644,32.6486302446179
Lamy,8.45579362749894,139.317744512931,0.015654045592408,0.049571144375958,27.3880572677168
Kiara,138.237874252026,9.02424972873245,0.107941512241501,0.192131650473084,17.6288211613432
Noel,9.28085694843822,140.705050815462,0.051364225036767,0.119586452136883,14.9459358605703
Watame,13.8870765970946,86.8669831027899,0.056982444379269,0.101275520892565,54.8871424381543
Fubuki,28.5089552799229,83.4145837766124,0.054257356346296,0.135549520007009,43.0020526427776
Nene,16.532272751884,83.9023621892212,0.085351867256681,0.059657706525431,39.8413065628399
Botan,18.7054517584678,94.7897424667819,0.017596408768486,1.68080896556578,24.7013693916335
Sora,19.4053753759507,89.8023026378805,0.047125533993602,0.033907396410031,18.2151682917952
Flare,10.7795327390473,75.2834527337361,0.013941782496122,0.044722341253795,38.4351405343746
AZki,26.0557954039456,50.8686813931427,0.03136313476468,0.083635026039146,37.8692428319749
Moona,94.6729682558883,5.07473776979039,0.011923482348062,0.058580587188305,13.8867096372842
Towa,28.3431870695339,62.4834739822577,0.041557462889186,0.043552221107867,21.7937309181983
Luna,12.1697688381867,74.2749924947463,0.011257880516362,0.041654157910537,23.4586085259682
Ollie,93.2308188829197,4.08022753097958,0.393741553315807,0.084718981758524,10.9521472227639
Polka,13.3845925486121,71.19697194597,0.019593290782247,0.05699866409381,21.101380436396
Matsuri,11.7204835428994,74.200143306213,0.032937315088757,0.05235299556213,19.1150841346154
Reine,81.2431764799966,1.98170126681259,0.003198872101392,0.030567000079972,9.94742594462989
Mel,34.8745075970737,39.9572312886888,0.019133370849747,0.019133370849747,6.21271806415307
Iofi,63.9477363251884,4.76281752556471,0.019519743957233,0.011606334244841,8.17191442966298
Roboco,16.8441681973235,50.9288900551037,0.027879821569142,0.099875360797691,8.16813172395697
Roberu,21.7359162684695,46.0874852770782,0.00344731827366,0.012352890480614,3.17124553524404
Aki,16.8124037375501,36.0094465550878,0.003696478077831,0.059965088818154,15.535886641339
Risu,54.4103885179538,0.567793491404237,0.004731612428369,0.029178276641607,4.05499185111193
Astel,29.9198620196454,23.538165450224,0.011042635088236,0.005363565614286,4.01384010264392
Choco,17.7743176264732,24.6106173543717,0.014954020241885,0.02281644325566,1.07807694382992
Shien,9.47820955913344,22.7977745932732,0.011379920762033,0.011379920762033,7.25469948579617
Temma,24.5057857079763,7.65480081264906,0.003356593940465,0.004593233813267,4.4796396078085
Anya,30.0410810810811,3.24756756756757,0.003603603603604,0.015135135135135,3.2418018018018
Oga,4.20193129534998,20.4182654712761,0.004364509265489,0.027278182909309,6.58495335430723
Miyabi,8.35657407164069,19.7800846232688,0.003153662190218,0.009776352789677,2.99219468607921
Rikka,7.41082483844158,13.4971250233221,0.00203538171888,0.009159217734959,5.14493613989857
Aruran,5.1102906371296,13.6110953327653,0.00151472119663,0.00738426583357,2.02007005585534
Izuru,5.89505756214205,13.4759048923,0.008099195865553,0.01041325182714,0.815704726459301
