streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Gura,370.86,6.10,0.03,0.42,183.80
Marine,14.34,342.10,0.13,0.16,53.30
Suisei,25.97,317.99,0.05,0.06,55.51
Miko,10.01,291.09,0.03,0.01,73.98
Hajime,15.50,330.25,0.06,0.07,21.02
Raden,13.81,316.49,0.06,0.13,24.96
Laplus,9.44,256.27,0.04,0.03,68.94
Kanata,10.76,261.67,0.02,0.04,59.29
Kanade,22.62,254.31,2.04,0.06,38.73
AZki,9.35,183.42,0.04,0.04,97.29
Pekora,12.89,238.67,0.01,0.04,37.16
Subaru,5.60,206.73,0.01,0.00,23.88
Koyori,7.84,168.78,0.04,0.03,57.73
Aqua,19.84,195.36,0.03,0.04,17.48
Lamy,6.68,183.23,0.02,0.04,40.51
Iroha,6.51,160.65,0.02,0.03,56.87
Fauna,122.74,1.24,0.01,0.01,90.18
IRyS,31.26,146.66,0.01,0.03,33.63
Chloe,5.92,156.64,0.03,0.06,48.39
FuwaMoco,121.62,20.98,0.01,0.02,66.41
Noel,4.92,161.93,0.01,0.02,38.84
Ririka,14.86,171.94,0.03,0.04,6.33
Shion,4.44,165.24,0.00,0.02,14.94
Mumei,105.17,1.57,0.04,0.01,72.48
Mio,3.40,110.20,0.01,0.01,61.22
Botan,8.24,126.39,0.02,0.13,34.99
Korone,13.49,144.47,0.01,0.01,10.82
Nene,7.45,117.14,0.03,0.03,39.34
Kronii,96.75,1.57,0.09,0.01,65.28
Ao,10.34,138.57,0.03,0.05,11.93
Fubuki,5.24,104.65,0.02,0.06,49.06
Roboco,11.06,123.77,0.06,0.01,21.53
Shiori,121.56,1.00,0.00,0.00,32.33
Towa,7.60,99.34,0.20,0.03,45.40
Amelia,87.99,0.34,0.01,0.01,63.59
Nerissa,118.02,1.57,0.01,0.01,29.99
Okayu,3.53,121.89,0.01,0.01,22.50
Sora,8.64,100.60,0.06,0.01,37.39
Bijou,113.87,0.91,0.01,0.01,31.78
Lui,7.36,112.39,0.03,0.04,22.43
Ayame,4.43,98.96,0.02,0.05,31.87
Watame,5.22,87.35,0.01,0.02,41.59
Kobo,90.93,0.43,0.03,0.02,39.79
Ina,62.83,1.33,0.02,0.01,65.61
Kiara,79.88,0.62,0.17,0.01,46.77
Baelz,75.04,13.10,0.14,0.01,36.09
Flare,2.72,61.83,0.01,0.00,40.21
Luna,6.83,78.38,0.02,0.02,17.34
Calli,69.22,0.98,0.01,0.02,24.55
Matsuri,3.56,64.29,0.03,0.02,9.60
Zeta,52.31,1.85,0.14,0.01,21.59
Polka,3.15,65.54,0.00,0.02,5.60
Choco,4.70,59.29,0.02,0.04,4.98
Kaela,48.98,0.20,0.01,0.01,14.76
Risu,44.74,0.44,0.00,0.00,14.42
Ollie,44.25,1.00,0.18,0.01,11.44
Mel,5.10,37.93,0.27,0.00,9.79
Aki,3.58,37.74,0.00,0.01,9.01
Reine,29.08,0.59,0.00,0.01,14.83
Iofi,31.27,4.64,0.00,0.00,7.86
Moona,21.54,0.14,0.00,0.02,5.37
Anya,15.45,3.81,0.00,0.00,3.23
