streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Ayame,23.19,200.42,0.20,0.25,390.31
AZki,53.27,67.29,0.00,0.00,298.50
Marine,32.91,327.65,0.87,0.13,49.78
Suisei,41.29,178.81,0.07,0.04,143.20
Aqua,29.48,265.25,0.11,0.08,43.92
Pekora,18.78,269.52,0.07,0.08,47.14
Gura,225.56,2.32,0.40,0.45,62.63
Miko,19.18,193.49,0.07,0.06,66.63
Rushia,14.48,223.19,0.12,0.17,26.87
Subaru,11.87,216.61,0.02,0.06,32.24
Kanata,12.98,188.34,0.04,0.04,50.27
Haato,52.30,110.07,0.14,0.12,71.31
Mio,8.03,142.37,0.02,0.04,80.58
Korone,20.98,177.41,0.04,0.05,28.13
Shion,13.40,178.50,0.10,0.02,28.49
Kronii,183.68,1.69,1.63,0.04,32.64
Ina,138.79,2.32,0.24,0.05,60.84
Lamy,11.54,151.26,0.03,0.06,33.95
Mumei,142.37,1.48,0.07,0.03,44.30
Fubuki,11.47,105.22,0.06,0.10,66.25
Okayu,7.13,134.79,0.03,0.06,36.24
IRyS,123.28,8.35,0.04,0.03,46.31
Amelia,95.17,0.48,0.10,0.04,69.11
Baelz,126.72,11.35,1.07,0.08,23.88
Kiara,118.37,6.69,0.20,0.05,30.97
Noel,6.11,131.71,0.06,0.07,15.06
Calli,123.55,1.68,0.12,0.07,24.74
Fauna,117.80,0.67,0.03,0.02,31.58
Watame,8.90,91.83,0.03,0.07,48.72
Botan,17.03,90.66,0.01,0.85,39.13
Nene,17.19,91.71,0.09,0.04,36.23
Polka,17.88,85.60,0.02,0.05,15.63
Sora,16.73,75.26,0.07,0.04,20.40
Mel,18.77,67.76,0.03,0.03,25.22
Luna,9.48,66.70,0.03,0.05,30.41
Flare,8.79,62.63,0.01,0.03,34.70
Aki,23.12,57.28,0.01,0.02,24.11
Matsuri,7.40,73.75,0.02,0.04,10.39
Sana,73.22,0.41,0.02,0.01,17.73
Moona,71.20,1.19,0.01,0.70,17.70
Ollie,66.62,2.70,0.33,0.03,12.62
Towa,13.64,47.83,0.05,0.01,17.88
Risu,69.19,1.09,0.01,0.03,9.02
Iofi,57.25,6.06,0.02,0.03,9.71
Reine,57.81,0.63,0.00,0.01,7.01
Roboco,13.59,42.77,0.01,0.04,8.25
Miyabi,9.38,27.58,0.00,0.01,8.01
Roberu,4.88,35.54,0.00,0.01,2.07
Rikka,6.94,17.57,0.00,0.01,8.84
Shien,7.50,18.52,0.00,0.02,6.56
Choco,7.79,19.99,0.01,0.03,3.38
Astel,12.72,14.01,0.00,0.01,3.33
Oga,2.53,15.67,0.00,0.01,11.44
Izuru,10.11,14.62,0.00,0.05,3.59
Anya,13.61,4.00,0.00,0.01,1.44
Temma,3.69,11.62,0.00,0.01,2.69
Aruran,2.93,10.74,0.00,0.00,1.93
