streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Aqua,18.74,235.94,0.12,0.09,129.40
Shion,8.05,261.78,0.01,0.04,40.56
Marine,11.56,243.10,0.16,0.10,47.60
Gura,214.99,3.08,0.20,0.27,79.90
Laplus,9.58,192.85,0.07,0.08,93.92
Miko,15.81,212.52,0.05,0.08,57.92
Suisei,25.38,172.20,0.06,0.04,79.07
Kobo,242.72,1.00,0.39,0.03,32.47
Pekora,10.64,222.62,0.03,0.05,26.55
Kanata,5.86,198.53,0.03,0.06,54.85
Ayame,9.89,168.06,0.06,0.02,78.81
Subaru,7.44,221.25,0.02,0.04,22.45
Lamy,6.06,188.06,0.01,0.04,38.84
Mio,8.50,142.10,0.02,0.03,74.67
Korone,19.07,171.37,0.02,0.04,16.77
Ina,116.30,2.71,0.25,0.04,76.20
Koyori,5.83,140.52,0.03,0.03,42.36
Nene,10.91,115.04,0.05,0.04,53.79
Haato,21.21,106.46,0.03,0.07,44.10
IRyS,111.11,3.51,0.03,0.01,56.81
Okayu,4.25,136.13,0.02,0.05,27.83
Iroha,6.13,111.14,0.02,0.05,46.44
Kronii,120.84,0.63,0.77,0.01,41.37
Fauna,107.39,0.69,0.02,0.02,51.27
Amelia,94.44,0.50,0.08,0.02,63.77
Mumei,113.30,0.60,0.14,0.02,40.34
Watame,6.81,91.93,0.02,0.04,52.68
Chloe,7.25,122.26,0.03,0.03,21.63
Kiara,101.99,1.45,0.54,0.03,45.64
Noel,4.96,114.51,0.02,0.06,16.05
AZki,10.06,64.22,0.02,0.01,56.27
Botan,10.52,87.30,0.02,0.39,31.62
Baelz,99.43,1.26,0.79,0.01,27.28
Towa,16.36,81.58,0.15,0.04,29.55
Sora,9.94,96.75,0.11,0.03,20.22
Polka,5.08,107.93,0.03,0.02,13.68
Calli,93.06,5.34,0.04,0.08,25.27
Fubuki,4.92,70.67,0.03,0.06,36.82
Luna,7.33,88.12,0.02,0.04,14.23
Roboco,9.78,80.40,0.04,0.05,16.31
Lui,3.75,82.85,0.01,0.03,13.80
Flare,6.30,58.00,0.01,0.01,32.91
Zeta,79.87,3.66,0.39,0.02,6.99
Aki,6.51,66.15,0.01,0.01,9.74
Sana,59.30,0.29,0.02,0.01,13.83
Risu,53.49,0.79,0.02,0.00,15.57
Mel,4.84,50.95,0.01,0.01,10.29
Reine,43.74,2.12,0.02,0.02,17.74
Moona,50.35,0.33,0.00,0.02,12.84
Kaela,59.80,0.24,0.04,0.01,3.14
Ollie,47.16,1.45,0.18,0.01,8.68
Matsuri,2.80,45.71,0.04,0.03,8.46
Choco,5.29,43.85,0.02,0.07,1.35
Iofi,34.74,3.71,0.03,0.01,10.92
Roberu,1.90,38.36,0.00,0.01,1.20
Shien,2.09,20.69,0.01,0.00,9.64
Rikka,2.88,16.99,0.00,0.00,9.49
Gamma,2.37,23.05,0.00,0.01,1.12
Oga,0.99,11.46,0.00,0.01,6.64
Anya,11.36,4.99,0.00,0.00,1.75
Astel,4.12,13.03,0.00,0.00,0.35
Uyu,3.79,12.59,0.00,0.00,0.58
Miyabi,1.59,12.08,0.00,0.00,3.03
Aruran,0.91,11.08,0.00,0.00,2.48
Temma,1.92,6.27,0.00,0.00,3.12
Fuma,1.58,8.72,0.01,0.00,0.23
Izuru,1.54,7.82,0.00,0.00,1.11
Rio,1.58,7.81,0.00,0.00,0.29
