streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Suisei,45.29,210.44,0.13,0.16,97.26
Pekora,13.64,261.06,0.04,0.06,44.78
Gura,222.14,2.30,0.10,0.45,86.98
Miko,15.11,219.67,0.03,0.06,69.02
Aqua,17.45,257.22,0.02,0.09,23.52
Subaru,7.19,249.39,0.01,0.03,23.81
Okayu,8.69,191.06,0.04,0.09,71.70
Marine,10.88,234.39,0.09,0.11,24.54
AZki,39.78,61.44,0.05,0.06,164.83
Lamy,6.42,206.38,0.01,0.05,42.72
Shion,5.90,193.55,0.04,0.04,43.89
Kanata,4.44,177.99,0.01,0.03,34.66
Mio,7.30,121.52,0.02,0.02,76.25
Koyori,5.45,143.00,0.02,0.02,55.30
Chloe,8.60,152.96,0.03,0.05,41.94
Korone,11.40,156.82,0.00,0.04,13.08
Nene,18.22,108.23,0.09,0.06,53.43
Kobo,145.15,0.56,0.08,0.02,31.74
Watame,8.61,94.46,0.02,0.05,67.37
Ina,96.61,0.79,0.04,0.01,72.30
Fauna,111.02,0.32,0.01,0.01,55.48
Amelia,86.57,1.72,0.04,0.03,75.87
Calli,110.06,10.89,0.02,0.05,36.15
Fubuki,6.67,92.23,0.02,0.13,50.32
IRyS,80.70,8.78,0.01,0.01,40.26
Kronii,91.76,0.32,0.40,0.01,37.25
Iroha,5.46,92.99,0.01,0.01,29.16
Baelz,86.40,2.10,1.12,0.01,37.49
Kiara,77.05,2.05,0.12,0.03,44.74
Laplus,13.76,72.88,0.04,0.02,36.42
Mumei,81.40,0.50,0.03,0.01,40.07
Sora,7.42,81.48,0.09,0.05,27.60
Towa,9.61,70.39,0.11,0.02,33.56
Botan,10.07,70.18,0.01,0.58,32.37
Polka,5.35,90.21,0.02,0.03,12.62
Lui,4.70,78.79,0.01,0.02,24.22
Mel,13.13,73.67,0.02,0.02,19.81
Noel,2.93,90.23,0.01,0.03,11.09
Flare,3.10,56.66,0.01,0.01,35.18
Ayame,9.06,45.04,0.00,0.02,39.92
Haato,16.59,44.26,0.01,0.03,32.15
Luna,6.51,63.20,0.01,0.03,15.84
Matsuri,3.47,62.80,0.04,0.06,12.06
Kaela,59.67,0.14,0.02,0.01,13.95
Zeta,50.79,1.68,0.04,0.00,16.13
Roboco,7.78,44.97,0.02,0.01,7.77
Choco,3.61,45.89,0.02,0.04,1.84
Ollie,41.75,0.60,0.06,0.01,7.81
Risu,42.97,0.48,0.00,0.01,5.92
Moona,35.20,0.26,0.03,0.02,13.17
Iofi,32.84,4.26,0.02,0.01,8.81
Aki,4.80,31.24,0.03,0.01,7.55
Reine,25.51,0.16,0.00,0.00,11.30
Anya,13.50,3.76,0.00,0.00,2.01
