streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Subaru,11.88,392.06,0.03,0.03,51.86
Marine,14.38,291.27,0.05,0.07,51.45
Miko,9.68,256.24,0.01,0.02,90.72
Gura,229.37,0.67,0.01,0.12,76.55
Raden,5.3,185.57,0.07,0.07,94.58
Pekora,12.53,231.06,0.01,0.04,30.44
Fubuki,5.49,160.29,0.02,0.06,92.09
Suisei,11.83,186.8,0.04,0.07,57.45
Kanata,8.06,201.99,0.01,0.02,41.03
Iroha,5.8,181.39,0.03,0.07,56.06
Mumei,150.06,1.47,0.05,0.02,84.95
Lamy,6.09,182.59,0.01,0.04,39.99
Ayame,4.41,146.08,0.01,0.02,60.49
Mio,3.65,122.19,0.01,0.02,78.26
Calli,131.39,1.71,0.02,0.02,56.36
Cecilia,121.19,1.12,0.01,0.01,65.12
Okayu,3.96,136.79,0.01,0.02,44.88
Korone,11.24,156.68,0.01,0.01,13.69
FuwaMoco,91.61,11.82,0.01,0.02,71.73
Koyori,4.18,123.29,0.01,0.02,45.29
Bijou,124.47,2.92,0.01,0.01,41.32
Watame,4.37,109.39,0.01,0.02,49.22
Kanade,9.75,77.48,3.85,0.02,67.01
AZki,4.39,115.35,0.02,0.03,35.79
IRyS,86.45,3.68,0,0.01,48.97
Botan,5,92.32,0,0.04,34.33
Nene,6.73,92.79,0.01,0.03,29.44
Nerissa,91.63,0.49,0.04,0.01,34.67
Sora,7.21,74.98,0.03,0.01,41.89
Baelz,68.86,12.63,0.04,0.01,42
Shion,4.71,102.83,0.16,0.04,12.19
Gigi,87.57,0.14,0,0.01,29.77
Laplus,6.14,83.17,0.01,0.01,26.19
Noel,2.93,86.3,0.02,0.02,24.45
Ina,56.29,1.16,0.03,0.01,55.55
Shiori,72.71,0.33,0,0.01,37.88
Polka,4.12,83.44,0.01,0.04,18.51
Chihaya,5.18,92.68,0,0.02,7.75
Luna,4.74,79.33,0.05,0.02,19.18
Flare,2.64,67.35,0,0,32.36
Kobo,76.7,0.6,0.01,0.01,24.75
Elizabeth,68.96,0.23,0,0.01,29.56
Kronii,62.61,0.45,0.04,0.01,31.32
Raora,55.37,0.67,0.01,0.01,38.37
Hajime,2.81,68.82,0.03,0.02,21.82
Ririka,3.26,74.26,0.01,0.01,14.11
Kaela,70.67,0.41,0.01,0,15.46
Kiara,52.47,0.35,0.02,0.01,26.64
Choco,4.72,51.11,0.01,0.04,22.34
Niko,4.65,55.85,0.1,0.05,12.31
Roboco,5.69,57.48,0.02,0.01,9.68
Su,2.17,59.52,0.01,0.01,10.28
Ao,2.35,57.49,0.08,0.02,10.49
Towa,4.23,47.16,0.23,0,16.88
Vivi,7.17,55.03,0.05,0.03,2.91
Riona,2.67,43.45,0,0.01,12.71
Lui,2.21,43.51,0.01,0.02,10.25
Zeta,33.24,3.74,0.01,0.01,14.55
Matsuri,1.75,43.97,0.02,0.01,4.15
Ollie,37.33,1.16,0.07,0.01,8.75
Aki,2.2,29.38,0,0,11.35
Haato,8.55,21.04,0,0.01,12.47
Moona,27.13,0.72,0,0,13.17
Risu,30.95,0.29,0,0,8.97
Reine,17.66,0.25,0,0,8.07
Iofi,19,1.2,0,0.01,5.6
Anya,7.21,1.97,0,0,2.83
