streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Aqua,20.24,252.51,0.11,0.09,44.95
Kobo,278.50,3.67,0.42,0.08,22.11
Suisei,28.21,178.60,0.08,0.03,93.03
Marine,14.20,223.49,0.19,0.07,46.36
Zeta,255.72,8.06,3.06,0.14,10.26
Miko,9.44,191.19,0.07,0.08,65.72
Gura,191.66,4.00,0.71,0.84,66.63
Pekora,14.15,200.35,0.04,0.04,37.79
Shion,7.47,198.40,0.09,0.03,44.89
Laplus,16.87,167.69,0.10,0.05,58.18
Lamy,7.52,195.96,0.02,0.05,37.64
Subaru,9.24,201.07,0.05,0.03,28.03
Fuma,63.71,133.32,0.06,0.01,23.20
Gamma,40.06,156.89,0.01,0.03,20.21
Korone,16.70,179.73,0.03,0.05,18.15
Uyu,67.99,123.88,0.08,0.13,18.15
AZki,20.88,42.34,0.03,0.07,129.92
Chloe,10.51,151.39,0.04,0.05,30.96
Kaela,171.83,2.51,0.28,0.09,13.86
Mio,6.76,112.63,0.03,0.03,66.38
Ina,127.03,1.24,0.26,0.02,54.97
Kronii,137.58,0.59,1.16,0.02,41.71
Rio,45.40,97.11,0.04,0.04,36.44
Mumei,129.62,1.39,3.44,0.03,42.97
Kiara,125.34,4.57,1.54,0.05,43.65
Koyori,9.17,124.37,0.02,0.03,40.87
Iroha,7.00,120.93,0.02,0.02,46.46
Okayu,5.51,142.66,0.03,0.06,25.71
IRyS,125.84,4.85,0.04,0.01,41.77
Nene,9.71,104.67,0.04,0.04,52.84
Amelia,107.15,0.40,0.17,0.06,59.26
Fauna,112.13,0.66,0.07,0.01,53.48
Botan,15.28,115.25,0.03,0.58,35.05
Baelz,101.05,3.19,11.85,0.03,38.65
Calli,122.33,2.65,0.10,0.16,26.67
Watame,5.81,92.29,0.03,0.04,47.06
Noel,8.70,115.70,0.07,0.05,16.74
Fubuki,11.62,78.00,0.02,0.07,43.31
Haato,30.42,52.87,0.11,0.05,43.98
Towa,9.59,87.59,0.16,0.02,24.37
Polka,8.00,85.90,0.05,0.05,21.05
Sora,8.74,84.47,0.06,0.03,19.82
Flare,3.72,68.14,0.01,0.01,40.73
Sana,88.68,0.54,0.14,0.01,22.17
Luna,16.15,73.90,0.04,0.04,20.67
Ayame,9.70,48.99,0.01,0.05,46.33
Lui,8.84,71.31,0.04,0.03,17.10
Roboco,10.94,65.56,0.05,0.03,20.25
Ollie,71.18,1.72,0.38,0.02,16.09
Reine,61.89,0.31,0.01,0.01,11.28
Risu,50.73,2.44,0.02,0.01,15.21
Matsuri,3.37,55.27,0.03,0.03,8.17
Moona,46.57,0.66,0.01,0.03,9.77
Mel,5.85,37.93,0.07,0.02,12.21
Aki,7.76,31.71,0.00,0.01,5.61
Roberu,2.98,35.77,0.00,0.01,1.36
Iofi,31.60,2.53,0.01,0.00,5.97
Choco,3.53,30.83,0.02,0.02,1.41
Anya,25.27,7.17,0.02,0.01,3.04
Oga,1.65,18.94,0.00,0.00,11.40
Rikka,3.23,14.45,0.00,0.00,9.27
Miyabi,2.54,15.26,0.00,0.00,5.15
Shien,2.26,15.54,0.00,0.00,4.98
Astel,5.98,10.00,0.00,0.00,0.52
Aruran,2.16,9.93,0.00,0.00,2.42
Temma,2.11,6.88,0.00,0.00,3.41
Izuru,1.68,7.45,0.00,0.00,0.12
