streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,12.19,335.67,0.20,0.18,63.20
Miko,9.83,252.07,0.02,0.01,87.05
Mio,5.85,171.88,0.02,0.02,114.71
Aqua,13.49,253.14,0.10,0.05,25.28
Pekora,8.90,245.10,0.03,0.05,37.02
AZki,10.50,170.06,0.04,0.05,107.10
Iroha,12.30,192.02,0.06,0.04,76.82
Lamy,7.64,213.56,0.04,0.07,54.94
Subaru,5.37,221.97,0.01,0.01,27.45
Kanata,9.21,203.97,0.01,0.02,36.44
Korone,10.20,202.02,0.01,0.04,16.10
Suisei,13.42,163.57,0.03,0.04,45.97
Kanade,9.22,120.95,4.32,0.03,78.73
Hajime,7.46,156.61,0.13,0.03,45.37
FuwaMoco,111.25,14.72,0.01,0.02,74.50
Chloe,5.40,137.80,0.05,0.07,55.77
Ayame,5.58,132.99,0.02,0.06,54.17
Shion,5.24,158.80,0.01,0.06,27.43
Kobo,133.77,0.74,0.01,0.02,54.51
Okayu,3.40,144.49,0.01,0.02,38.57
Koyori,4.61,120.30,0.01,0.02,59.18
Laplus,12.38,97.67,0.28,0.03,72.93
Nene,23.80,106.88,0.18,0.06,51.87
Fubuki,5.26,119.46,0.01,0.06,50.86
Watame,5.00,103.93,0.02,0.02,54.62
Haato,19.43,114.01,0.03,0.04,29.17
Amelia,86.30,0.27,0.02,0.02,75.79
Ririka,8.09,137.53,0.06,0.04,12.22
Fauna,92.82,0.15,0.01,0.01,64.85
Noel,3.88,116.78,0.03,0.02,34.38
Bijou,116.25,0.59,0.01,0.01,37.37
Sora,8.19,97.53,0.06,0.01,47.62
Shiori,104.50,0.65,0.00,0.01,45.49
Ina,64.29,1.84,0.03,0.02,80.87
Botan,5.89,101.98,0.00,0.12,32.53
Kiara,72.63,1.55,0.07,0.02,54.09
IRyS,79.72,4.26,0.00,0.00,41.64
Raden,4.78,99.10,0.01,0.03,19.16
Polka,4.33,87.20,0.03,0.05,22.67
Kronii,70.15,0.27,0.06,0.01,43.31
Flare,3.27,60.79,0.01,0.01,49.72
Nerissa,83.67,0.50,0.01,0.01,24.56
Baelz,71.42,3.11,0.06,0.01,32.99
Aki,6.22,87.76,0.00,0.01,11.55
Lui,2.79,77.62,0.09,0.04,18.76
Towa,6.18,60.84,0.04,0.01,22.56
Ao,4.75,70.98,0.19,0.04,12.36
Luna,5.85,62.53,0.02,0.03,14.54
Choco,3.48,66.93,0.01,0.03,10.06
Calli,56.17,2.13,0.00,0.02,20.53
Roboco,4.88,50.49,0.02,0.01,11.73
Zeta,41.59,1.89,0.01,0.00,18.29
Kaela,40.84,0.13,0.00,0.01,10.25
Reine,33.01,0.59,0.00,0.00,17.42
Mel,3.57,36.41,0.01,0.00,10.12
Matsuri,3.11,33.19,0.01,0.01,6.87
Ollie,31.31,0.75,0.01,0.00,10.63
Anya,23.36,6.46,0.00,0.00,8.08
Moona,23.59,0.34,0.00,0.01,9.45
Iofi,19.64,2.12,0.00,0.00,4.87
Risu,19.71,0.17,0.00,0.00,4.56
