streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Iroha,104.41,352.70,0.24,0.33,65.52
Chloe,92.42,370.16,0.48,0.42,38.11
Lui,91.98,272.09,0.35,0.24,30.35
Laplus,91.59,272.63,0.21,0.15,29.35
Pekora,17.64,299.24,0.08,0.08,58.94
Aqua,27.41,273.58,0.05,0.12,70.58
AZki,33.52,84.45,0.05,0.10,246.13
Koyori,56.40,257.22,0.29,0.34,27.72
Suisei,35.64,195.17,0.03,0.04,110.57
Marine,23.48,268.84,0.19,0.06,42.74
Gura,255.66,2.22,0.34,0.49,72.53
Miko,20.56,209.02,0.08,0.07,89.49
Rushia,14.33,255.76,0.12,0.17,43.44
Korone,23.51,220.00,0.03,0.08,66.95
Subaru,11.33,230.76,0.03,0.04,30.68
Haato,80.72,89.60,0.39,0.16,101.82
Lamy,9.68,199.21,0.03,0.09,59.56
Kanata,8.38,197.23,0.03,0.05,56.87
Mio,12.49,150.66,0.04,0.04,96.79
Amelia,139.44,1.37,0.21,0.08,104.20
Okayu,6.67,161.59,0.02,0.08,44.06
Kronii,152.39,1.20,3.67,0.06,47.08
IRyS,144.65,7.40,0.05,0.03,39.74
Ina,127.64,1.38,0.29,0.06,61.61
Fubuki,10.09,129.91,0.03,0.09,46.27
Shion,6.78,155.56,0.06,0.02,19.51
Baelz,124.11,12.93,5.00,0.04,33.70
Nene,12.85,91.26,0.08,0.05,68.78
Noel,5.70,137.81,0.05,0.05,26.66
Watame,11.11,94.15,0.04,0.07,60.50
Kiara,120.00,5.99,0.18,0.06,35.96
Fauna,129.14,0.92,0.05,0.01,30.70
Mumei,113.99,2.97,0.11,0.03,40.27
Calli,107.69,1.80,0.08,0.06,20.37
Flare,6.30,74.74,0.01,0.02,48.91
Matsuri,7.42,95.63,0.04,0.06,16.25
Botan,10.27,78.43,0.01,0.75,29.88
Towa,14.58,69.02,0.10,0.04,22.89
Polka,8.25,82.55,0.06,0.03,13.57
Sora,9.86,78.53,0.05,0.03,14.11
Mel,11.39,66.69,0.02,0.04,15.28
Luna,9.77,58.37,0.02,0.05,17.76
Aki,15.07,47.82,0.01,0.03,18.45
Sana,64.28,3.12,0.04,0.01,13.88
Ollie,67.42,1.48,1.15,0.02,7.24
Reine,61.21,0.26,0.00,0.01,9.09
Iofi,54.43,3.78,0.04,0.06,9.91
Moona,48.39,0.38,0.01,0.09,7.11
Choco,8.12,44.56,0.02,0.05,1.80
Roboco,10.11,37.58,0.02,0.03,5.66
Risu,47.39,1.04,0.01,0.03,4.83
Roberu,6.17,29.58,0.00,0.00,1.64
Miyabi,5.86,22.16,0.00,0.00,4.58
Shien,4.41,19.51,0.00,0.01,7.36
Rikka,4.92,18.01,0.00,0.00,7.32
Oga,1.69,16.97,0.00,0.01,9.96
Anya,16.96,3.55,0.01,0.01,4.03
Astel,9.79,12.08,0.00,0.01,2.17
Temma,8.63,9.77,0.00,0.00,3.79
Aruran,3.01,12.41,0.01,0.00,2.91
Izuru,2.23,7.27,0.00,0.01,0.81
