streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Miko,11.22,301.85,0.05,0.03,132.36
Marine,13.55,336.19,0.09,0.28,90.36
Kanata,11.09,290.88,0.05,0.03,124.27
Aqua,15.45,316.99,0.05,0.14,50.90
Pekora,19.28,290.02,0.03,0.06,47.32
Suisei,21.14,259.70,0.05,0.08,71.38
Gura,197.58,9.41,0.07,0.41,99.32
Noel,6.45,212.00,0.03,0.04,61.77
Mio,6.79,172.28,0.02,0.04,93.55
Subaru,6.64,228.61,0.01,0.02,26.78
Shiori,221.84,1.52,0.02,0.03,28.79
FuwaMoco,177.08,29.50,0.03,0.04,44.56
Koyori,6.19,165.04,0.19,0.04,54.03
Fauna,132.49,0.63,0.01,0.01,85.56
Chloe,6.74,160.53,0.04,0.05,50.07
Bijou,180.04,1.82,0.01,0.02,31.45
Lamy,5.71,166.05,0.03,0.04,37.99
Shion,5.91,162.87,0.01,0.04,36.85
Kobo,154.81,0.96,0.02,0.02,46.73
Nerissa,167.78,3.05,0.03,0.02,25.32
IRyS,105.60,9.28,0.01,0.01,74.26
AZki,6.17,145.92,0.02,0.05,36.98
Kronii,118.02,1.10,0.09,0.01,63.74
Mumei,104.80,2.87,0.02,0.01,74.33
Iroha,6.33,125.85,0.02,0.04,43.70
Korone,15.14,147.24,0.01,0.03,13.30
Fubuki,5.41,124.72,0.01,0.05,45.42
Baelz,105.59,7.30,0.13,0.02,56.47
Amelia,93.83,0.60,0.03,0.02,71.48
Okayu,4.22,121.15,0.01,0.03,35.02
Sora,10.83,106.56,0.08,0.02,41.38
Kiara,101.33,1.72,0.49,0.02,50.50
Nene,6.15,110.99,0.07,0.04,36.05
Laplus,7.68,103.52,0.02,0.03,35.71
Botan,7.71,87.34,0.01,0.13,46.87
Watame,4.24,91.52,0.02,0.02,45.35
Ayame,11.02,90.13,0.02,0.03,39.70
Ina,71.33,1.14,0.02,0.01,62.33
Luna,9.65,103.19,0.01,0.03,15.90
Polka,4.24,108.37,0.01,0.03,15.02
Flare,3.13,85.70,0.01,0.01,36.71
Towa,7.74,77.23,0.03,0.02,32.23
Calli,80.27,6.15,0.01,0.02,26.00
Zeta,75.05,3.33,0.03,0.01,26.34
Lui,3.41,78.74,0.06,0.03,12.41
Kaela,60.16,0.37,0.01,0.01,17.04
Matsuri,3.47,55.89,0.02,0.01,17.22
Roboco,6.09,45.74,0.01,0.02,13.85
Aki,3.46,40.54,0.01,0.01,12.76
Mel,2.49,37.53,0.01,0.01,8.27
Ollie,35.01,2.66,0.02,0.01,9.41
Reine,27.95,0.79,0.00,0.00,13.63
Moona,28.50,0.31,0.00,0.02,11.59
Anya,18.73,11.85,0.01,0.01,7.61
Iofi,28.67,2.48,0.00,0.00,6.28
Choco,2.64,31.18,0.01,0.03,2.97
Risu,25.57,0.47,0.00,0.00,6.58
