streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Chloe,24.71,311.11,0.11,0.15,168.53
Laplus,19.94,263.95,0.20,0.10,154.17
Aqua,36.09,262.64,0.11,0.09,91.08
Gura,277.55,2.53,0.64,0.40,96.08
Suisei,32.11,179.85,0.07,0.04,156.58
Rushia,12.05,261.90,0.20,0.18,53.42
Miko,11.77,231.38,0.06,0.09,72.06
Iroha,13.50,210.53,0.06,0.06,85.28
Pekora,9.20,249.77,0.04,0.07,49.11
Korone,23.13,224.67,0.09,0.03,41.97
Marine,18.24,241.80,0.13,0.12,26.73
Subaru,9.39,233.85,0.05,0.04,40.18
Haato,78.25,106.56,0.26,0.12,85.26
Amelia,128.21,0.89,0.39,0.10,109.16
Ayame,11.32,106.37,0.06,0.05,111.08
Ina,126.13,1.64,0.33,0.05,91.45
Kanata,5.09,173.04,0.03,0.04,36.46
IRyS,144.13,4.20,0.08,0.01,64.13
Okayu,7.71,157.61,0.03,0.07,41.47
Koyori,5.23,145.44,0.03,0.04,55.29
Mio,8.26,132.45,0.01,0.02,64.74
Lamy,6.88,163.87,0.02,0.05,33.70
Kronii,150.46,0.55,1.95,0.02,46.76
Mumei,132.13,1.36,0.27,0.04,58.76
Nene,11.06,129.59,0.04,0.04,46.06
AZki,27.24,73.11,0.18,0.06,84.84
Kiara,113.86,3.97,9.45,0.08,46.04
Watame,6.15,98.60,0.03,0.05,66.46
Calli,130.21,8.84,0.15,0.09,29.11
Fauna,125.61,0.80,0.14,0.02,37.79
Towa,25.44,87.58,0.36,0.02,42.99
Lui,13.97,113.96,0.05,0.04,27.72
Baelz,104.90,5.78,2.39,0.02,41.19
Shion,3.41,124.27,0.11,0.01,24.32
Botan,10.30,103.45,0.02,0.42,36.77
Fubuki,6.99,97.81,0.04,0.09,41.27
Noel,3.92,111.41,0.04,0.05,19.16
Sora,8.80,95.36,0.10,0.02,19.99
Luna,9.78,78.10,0.02,0.03,33.55
Polka,8.00,78.91,0.02,0.02,27.44
Mel,15.29,69.96,0.02,0.03,25.42
Aki,15.29,69.86,0.01,0.03,14.48
Flare,3.49,62.80,0.01,0.01,28.58
Sana,59.67,0.43,0.04,0.01,15.90
Risu,61.21,1.27,0.02,0.05,11.86
Matsuri,3.96,62.10,0.04,0.04,5.29
Ollie,59.04,3.94,0.30,0.03,7.11
Reine,59.57,0.24,0.07,0.01,7.25
Roboco,6.69,47.72,0.01,0.01,6.75
Moona,49.46,0.58,0.01,0.08,7.82
Shien,5.93,31.71,0.00,0.01,11.13
Rikka,5.81,24.06,0.00,0.01,18.41
Iofi,37.44,2.64,0.05,0.01,8.02
Oga,7.89,21.95,0.01,0.00,15.20
Choco,4.76,37.83,0.07,0.03,2.12
Roberu,3.97,33.83,0.00,0.00,1.71
Astel,8.59,15.40,0.00,0.00,1.44
Temma,3.38,12.21,0.00,0.00,4.64
Anya,13.67,3.53,0.00,0.00,1.84
Miyabi,1.98,11.94,0.00,0.00,1.74
Aruran,1.98,11.25,0.00,0.00,2.38
Izuru,2.43,4.76,0.00,0.01,0.70
