streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Fauna,330.2,2.68,0.04,0.08,372.26
Marine,16.78,465.68,0.11,0.09,61.04
Miko,10.44,337.2,0.02,0.02,119.86
Subaru,10.52,387.16,0.02,0.02,44.05
Gura,308.01,4.09,0.07,0.47,122.13
Pekora,16.18,325.72,0.03,0.07,53.87
Suisei,14.5,317.94,0.04,0.09,62.81
Iroha,6.52,242.88,0.09,0.07,130.72
Lamy,8.58,269.63,0.01,0.06,55.06
AZki,9.69,210.28,0.07,0.04,92.52
Chloe,6.89,192.42,0.03,0.09,93.95
Shion,6.74,245.31,0.23,0.09,40.6
Mio,7.01,184.62,0.01,0.02,98.78
Kanata,10.65,225.44,0.01,0.02,53.77
Fubuki,5,154.21,0.02,0.06,100.97
Nene,9.9,168.01,0.04,0.05,63.15
Kanade,8.05,113.24,3.88,0.03,96.19
Chihaya,8.97,183.75,0.02,0.05,24.41
Cecilia,140.94,0.28,0.01,0.02,73.68
Korone,11.26,178.5,0.01,0.01,18.62
Koyori,4.29,139.48,0.01,0.03,55.77
Okayu,5.62,142.1,0.01,0.02,45.05
Laplus,9.94,145.3,0.06,0.09,37.03
Mumei,132.97,0.51,0.01,0.04,56.1
Noel,3.85,145.8,0.02,0.03,39.89
Bijou,132.27,1.31,0.01,0.02,55
Watame,4.4,135.12,0.03,0.04,48.63
Baelz,115.63,3.7,0.2,0.01,61.75
Ayame,5.64,127.68,0.01,0.01,46.44
Nerissa,120.91,0.8,0.03,0.01,54.98
Towa,13.24,128.18,0.01,0.02,33.44
Raden,4.28,128.08,0.02,0.11,39.85
Ao,4.66,138.44,0.1,0.05,27.26
FuwaMoco,89.13,8.53,0.02,0.02,68.71
Luna,6.5,122.42,0.02,0.03,29.13
Sora,5.6,103.28,0.02,0.02,45.39
Kronii,103.53,0.59,0.06,0.01,49.45
Raora,88.28,0.73,0.01,0.03,56.61
Botan,4.44,110.25,0,0.06,26.79
Hajime,3.99,96.79,0.03,0.04,38.37
Kobo,100.14,2.19,0.03,0,36.66
Polka,3.57,104.68,0.01,0.07,21.39
Roboco,6.89,98.97,0.01,0.01,18.11
Calli,89.15,1.05,0.01,0.01,32.12
Ririka,3.82,100.69,0.02,0.02,16.42
Su,2.74,95.4,0.01,0.02,21.81
Kiara,74.3,0.55,0.04,0.09,40.17
IRyS,67.21,7.55,0.01,0,40.05
Shiori,72.9,0.32,0,0,40.4
Niko,5.64,81.41,0.02,0.05,24.91
Ina,53.66,0.97,0.02,0,56.85
Lui,3.47,89.72,0.01,0.03,14.79
Gigi,77.43,0.15,0,0.01,28.16
Vivi,5.78,89.3,0.02,0.05,7.41
Riona,3.47,67.8,0.02,0.04,25.21
Elizabeth,59.63,0.33,0,0.02,31.79
Matsuri,3.05,67.65,0.04,0.03,18.16
Risu,51.45,1.51,0.01,0.03,27.33
Haato,8.71,47.76,0.04,0.01,13.4
Choco,3.34,59.5,0.01,0.06,6.27
Flare,2.25,38.69,0.01,0.01,24.87
Zeta,44.42,2.41,0,0.01,16.41
Kaela,38.41,0.27,0.01,0,9.6
Iofi,31.68,2.84,0,0.01,7.17
Ollie,33.14,1.3,0.01,0.01,6.36
Reine,28.27,0.24,0.01,0,11.48
Moona,26.49,0.47,0,0,10.67
Aki,1.61,23.66,0,0,10.72
Anya,9.83,9.55,0,0,4.08
