streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Marine,18.46,238.53,0.07,0.10,37.07
Pekora,14.25,236.87,0.04,0.05,34.87
Miko,8.87,213.86,0.03,0.01,61.36
Kanata,8.75,212.90,0.01,0.03,46.06
Suisei,14.98,206.16,0.05,0.09,46.14
Subaru,5.17,204.62,0.01,0.01,23.88
Hajime,8.27,201.88,0.05,0.03,22.98
Kanade,19.03,174.05,2.75,0.04,25.36
Lamy,5.46,176.85,0.01,0.04,36.22
Fauna,141.00,0.28,0.01,0.01,76.59
Kobo,148.95,1.83,0.04,0.03,64.32
AZki,8.56,148.00,0.05,0.08,55.46
Iroha,6.03,140.14,0.02,0.05,55.44
IRyS,140.20,8.96,0.01,0.01,51.50
Aqua,17.18,161.24,0.02,0.03,16.24
FuwaMoco,144.06,7.85,0.00,0.01,38.04
Koyori,5.97,131.95,0.02,0.02,44.82
Okayu,2.15,133.00,0.02,0.03,46.16
Mio,3.69,111.24,0.01,0.01,57.91
Mumei,108.06,0.79,0.02,0.01,57.45
Fubuki,5.48,106.73,0.01,0.06,49.17
Botan,6.44,119.70,0.01,0.09,33.18
Watame,5.02,103.57,0.02,0.02,47.95
Ririka,9.92,133.35,0.02,0.03,12.59
Raden,6.26,133.49,0.03,0.06,13.71
Laplus,10.60,64.80,0.04,0.06,76.59
Chloe,4.64,111.20,0.02,0.09,33.13
Bijou,111.66,1.71,0.01,0.01,33.54
Noel,4.55,114.80,0.02,0.01,26.99
Towa,9.73,84.82,0.12,0.02,42.95
Shiori,98.78,0.22,0.00,0.00,38.13
Nerissa,107.67,0.65,0.01,0.02,24.82
Nene,5.41,97.91,0.02,0.03,29.18
Lui,2.72,117.12,0.32,0.07,10.40
Korone,10.15,110.51,0.01,0.04,9.35
Amelia,73.32,0.39,0.01,0.01,55.62
Zeta,77.70,6.12,0.03,0.01,41.24
Sora,6.98,81.97,0.04,0.02,35.48
Kiara,76.35,0.72,0.04,0.02,33.99
Luna,6.82,80.25,0.02,0.03,22.55
Ina,51.84,0.85,0.01,0.00,56.46
Shion,2.94,95.78,0.01,0.03,9.30
Baelz,67.93,2.96,0.14,0.01,32.18
Ao,5.57,83.90,0.03,0.04,10.76
Calli,73.13,1.58,0.01,0.03,18.63
Kronii,55.70,0.19,0.04,0.01,30.11
Flare,2.84,56.19,0.02,0.00,25.17
Ayame,8.80,45.98,0.01,0.01,26.83
Roboco,6.62,59.38,0.04,0.01,13.55
Polka,3.12,60.51,0.01,0.02,10.90
Mel,3.95,48.72,0.05,0.01,19.96
Aki,5.00,58.45,0.00,0.00,6.39
Matsuri,3.60,53.65,0.01,0.05,11.20
Kaela,49.95,0.47,0.01,0.01,15.55
Ollie,30.31,1.00,0.02,0.01,11.73
Risu,32.67,0.26,0.00,0.00,5.89
Moona,27.02,0.22,0.00,0.01,8.57
Reine,24.29,0.52,0.01,0.00,10.38
Iofi,25.02,2.07,0.00,0.01,5.68
Anya,17.49,10.41,0.00,0.00,3.57
Choco,1.41,25.78,0.01,0.02,0.85
