streamer,EN/ES/ID/etc.,JP,KR,RU,Emote
Sakuna,18.24,418.3,0.11,0.2,109.26
Dooby,132.9,0.32,0.01,0.01,49.43
Rica,1.57,25.91,0.01,0.01,8.76
