,
Roboco,9.41
Miko,7.52
Watame,5.05
Aqua,4.09
Kiara,3.89
Astel,3.83
Pekora,3.55
Gura,3.55
Noel,3.53
Flare,3.43
Anya,3.36
Calli,3.14
Ina,3.14
Izuru,3.08
Choco,3.06
Korone,3
Rushia,2.96
Lamy,2.92
IRyS,2.89
Subaru,2.84
Temma,2.8
Mel,2.73
Reine,2.72
Miyabi,2.71
Rikka,2.7
Moona,2.61
Amelia,2.57
Okayu,2.55
Marine,2.54
Aki,2.53
Shion,2.52
Sora,2.52
Matsuri,2.5
Botan,2.43
Sana,2.4
Aruran,2.36
Ayame,2.32
Nene,2.31
Towa,2.31
Ollie,2.3
Kronii,2.22
Luna,2.18
AZki,2.08
Shien,2.04
Iofi,1.97
Risu,1.95
Oga,1.95
Baelz,1.92
Fubuki,1.91
Roberu,1.89
Fauna,1.82
Polka,1.74
Kanata,1.72
Haato,1.65
Mumei,1.6
Mio,1.52
Suisei,1.52
