,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
Altare,10.23,71.67,112.59,56.24,65.64
Dezmond,8.48,48.69,50.52,42.92,50.21
Axel,7,45.29,92.36,183.71,52.94
Vesper,10.71,62.59,58.57,50.64,22.31
