,
Kiara,11.92
Astel,11.73
Gura,10.3
Miyabi,10.23
Okayu,10.22
Korone,9.92
Noel,9.82
Coco,9.44
Watame,8.76
Ina,8.58
Pekora,7.76
Flare,7.56
Rikka,7.55
Matsuri,7.49
Marine,7.42
Mel,7.17
Fubuki,6.88
Reine,6.48
Calli,6.46
Miko,6.26
Kanata,6.26
Lamy,6.19
Shion,6.18
Amelia,6.1
Aruran,6
Roboco,5.98
Polka,5.71
Subaru,5.68
Mio,5.54
Anya,5.33
Temma,5.15
Ollie,5.11
Rushia,5.1
Choco,5.01
Iofi,4.81
Oga,4.67
Nene,4.6
Aki,4.45
Moona,4.44
Botan,4.4
Ayame,4.33
AZki,4.16
Towa,3.97
Sora,3.97
Izuru,3.91
Luna,3.88
Aqua,3.44
Risu,3.42
Shien,3.21
Roberu,3.13
Suisei,2.24
Haato,2.13
