,
Anya,11.70
Kaela,11.47
Korone,10.86
Moona,10.35
Flare,10.27
Koyori,9.07
Watame,8.89
Okayu,8.85
Fauna,8.32
Noel,7.79
Reine,6.89
Polka,6.89
Kiara,6.87
Calli,6.77
Lui,6.74
Risu,6.46
Sora,6.12
IryS,6.11
Miko,5.96
Luna,5.94
Zeta,5.78
Ollie,5.73
Iroha,5.71
Matsuri,5.68
Subaru,5.67
Aki,5.50
Iofi,5.43
Kobo,5.37
Nene,5.25
Fubuki,5.19
Pekora,5.15
Towa,5.02
Chloe,5.01
Mel,4.82
Amelia,4.68
Sana,4.47
Kronii,4.46
Baelz,3.96
Gura,3.84
Ina,3.82
Botan,3.82
Mio,3.61
Mumei,3.50
Shion,3.37
Suisei,3.16
Choco,3.15
Marine,2.80
Roboco,2.76
Aqua,2.54
Haato,2.22
Laplus,1.57
Azki,1.07
Lamy,1.02
Kanata,0.43
