,
Kaela,214.66
Koyori,151.20
Aki,103.35
Watame,102.99
Reine,100.02
Fubuki,93.47
Kiara,88.61
Ollie,83.23
Luna,80.27
Flare,76.50
Pekora,75.54
Chloe,74.40
Moona,73.76
Lui,73.38
Baelz,71.10
Korone,67.27
Kobo,64.04
Miko,62.42
Subaru,58.66
Zeta,58.61
Kronii,53.96
Kanata,53.04
Lamy,51.94
Choco,51.42
Calli,49.58
Fauna,47.93
Amelia,47.79
Towa,46.81
Sora,45.31
Mumei,45.01
Anya,43.20
Shion,42.30
Iofi,41.35
Aqua,39.76
Polka,37.57
Mel,37.41
Noel,36.19
Nene,33.59
Matsuri,33.34
Okayu,31.26
Mio,30.80
Botan,28.48
IryS,23.53
Risu,21.86
Roboco,20.84
Haato,20.33
Laplus,17.88
Gura,16.19
Ayame,14.58
Iroha,13.70
Suisei,13.45
Marine,10.83
Azki,3.04
Ina,0.00
