,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22
Astel,38.94,61.51,111.41,91.3,59.92,105.7,51.03,147.87,100.41,105.24,103.02,129.96,52.82,62.41,84.36,20.38,46.37,55.75,30.87,99.12,34.56,36.76,75.76,36.53
Temma,28.63,20.01,60.55,64.86,71.35,41.89,41.57,81.77,35.54,129.08,112,70.76,94.35,88.78,78.53,56.87,32.8,40.63,39.3,35.91,48.12,51.8,52.33,60.01
Roberu,102.2,77.69,91.81,137.13,122.23,79.02,55.36,80.63,81.36,50.66,37.77,33.63,58.02,51.05,73.65,50.12,38.42,63,56.06,111.08,101.92,52.87,75.19,78.84
Shien,36.48,35.08,60.29,53.63,58.21,41.25,35.18,34.45,38.84,45.92,43.78,19.68,26.36,26.29,28.58,24.32,44.39,26.81,31.31,15.31,19.35,26.86,23.82,16.96
Oga,14.54,19.31,41.06,69.29,29.16,42.03,32.94,32.63,58.29,43.75,50.71,36.08,15.28,34.7,33.07,19.45,45.39,37.83,37.32,36.75,21.86,49.77,44.41,62.71
