,
Watame,121.13
Aki,108.42
Coco,107.89
Roboco,99.63
Aruran,99.17
Choco,98.51
Flare,94.27
Pekora,79.85
Roberu,77.69
Noel,74.25
Luna,74.07
Kanata,70.36
Korone,69.55
Fubuki,61.78
Astel,61.51
Subaru,55.61
Mel,47.72
Mio,46.63
Matsuri,45.73
Towa,45.69
Rushia,44.11
Aqua,42.19
Marine,41.58
Okayu,40.77
Shien,35.08
Izuru,31.2
Miyabi,30.22
Iofi,28.28
Risu,26.04
Miko,25.38
Rikka,24.3
Shion,22.68
Moona,21.84
Ayame,20.13
Temma,20.01
Kira,19.59
Oga,19.31
Haato,18.73
Sora,17.61
Suisei,12.28
AZki,6.26
