,Nov-24,Dec-24,Jan-25
Riona,22.15,86.52,68.87
Vivi,28.53,97.04,129.22
Su,16.68,84.27,118.99
Chihaya,10.96,56.83,64.99
Niko,12.36,73.23,70.61
