,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
Fuma,2.97,88.1,90.91,76.84,54.43,95.69,73.31,26.19,32.66
Uyu,1.98,197.43,221.04,122.74,26.63,37.66,31.58,28.33,33.36
Gamma,1.75,124.49,123.89,80.07,80.41,40.75,73.33,64.36,51.29
Rio,1.82,131.43,120.61,98.9,89.27,169.7,59.94,36.89,101.15
