,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23
Shion,18.06,22.68,25.32,50.54,23.25,22.8,37.66,16.42,14.56,13.46,10.76,27.12,0.33,0.06,27.85,26.71,24.84,60.81,23.9,18.24,7.59,7.18,9.95,3.79,20.41,19.78,2.96,8.95,2.38,42.3,7.44,1.57,9.67,29.98,17.53,1.27,11.61,42.98,17.28,11.1
Aqua,2.49,42.19,85.94,59.57,56.49,118.28,100.09,69.89,27.07,94.57,28.91,5.63,27.07,30.81,45.05,28.2,23.2,18.02,10.09,23.41,36.18,8.5,27.26,4.74,4.12,2.54,5.38,3.49,9.49,39.76,10.58,15.39,9.96,23.77,15.77,0,29.64,33.78,21.06,44.37
Ayame,11.44,20.13,26.66,,5.31,18.48,18.78,15.88,26.24,34.78,22.84,15.98,0,9.38,7.04,14.36,1.06,0.07,16.25,6.73,10.96,3.5,1.73,2.11,9.55,0,0,20.44,9.86,14.58,23.15,19.13,4.76,8.83,17.83,0,3.49,12.08,12.85,12.97
Choco,140.76,98.51,74.63,68.24,39.36,46.77,46.28,42.56,39.1,41.33,41.88,15.87,104.71,69.41,61.27,18.37,27.92,35.84,28.31,65.96,75.89,58.5,95.19,39.04,29.26,13.97,48.62,67.38,33.74,51.42,25.37,5.98,15.85,8.3,3.07,14.31,51.95,2.95,30.86,32.24
Subaru,39.24,55.61,61.9,67.15,55.21,72.93,58.4,73.24,49.24,50.75,50.66,69,69.09,45.31,73.82,66.79,73.31,79.4,84.75,74.63,54.5,29.69,82.88,79.88,69.65,69.66,87.2,80.61,63.44,58.66,78.01,85.83,77.59,74.32,91.09,61.08,86.94,91.05,84.83,96.75
