,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
Elizabeth,8.36,63.9,31.57,40.93,28.38,28.95,18.82
Gigi,22.9,83.34,85.31,76.5,75.42,60.83,47.43
Cecilia,13.97,87.05,75.24,89.87,64.14,53.14,52.1
Raora,24.43,120.2,68.62,118.31,91.05,94.49,61.23
