,
Okayu,74.87
Kaela,61.34
Ayame,49.40
Nerissa,35.18
Towa,27.10
Roboco,24.14
Bijou,22.61
IryS,22.37
Haato,18.20
Mumei,17.92
Mel,17.51
Zeta,16.69
Botan,12.39
Ina,11.18
Ririka,10.01
Iofi,8.85
Kronii,5.62
Kanata,2.54
Mio,1.79
Azki,1.73
Laplus,1.67
Marine,1.56
Gura,1.25
Fauna,1.03
Sora,-0.29
Ollie,-0.72
Chloe,-1.96
Iroha,-2.07
Watame,-3.26
Noel,-3.28
Amelia,-3.89
Shion,-3.91
Hajime,-4.37
Suisei,-5.18
Miko,-6.31
Risu,-6.88
Anya,-7.64
Nene,-8.65
Kanade,-9.40
Kobo,-11.61
Matsuri,-12.59
Shiori,-13.37
Polka,-17.11
Calli,-18.50
Ao,-18.73
Korone,-19.43
Moona,-20.09
Fubuki,-20.60
Lamy,-21.95
Baelz,-22.20
FuwaMoco,-23.16
Subaru,-24.19
Kiara,-27.47
Pekora,-28.67
Flare,-41.39
Luna,-41.52
Reine,-48.19
Aqua,-50.69
Lui,-51.16
Raden,-53.21
Koyori,-61.57
Choco,-93.73
Aki,-213.48
