,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22
Miyabi,23.08,30.22,49.51,27.27,46.34,41.42,42.38,35.52,65.59,61.9,57.03,69.02,52.85,38.43,48.7,35.8,43.03,30.93,29.02,35.78,9.84,53.91,33.45,41.3,23.69,30,33.14
Izuru,14.24,31.2,19.9,40.8,43.85,20,31.13,62.95,13.03,54.46,14,12.33,14.4,20.61,33.92,18.58,23.16,18.18,27.79,47.04,38.63,13.25,6.5,20.87,15.28,5.25,41.38
Aruran,54.03,99.17,90.45,87.97,64.4,136.56,111.67,156.24,119.2,128.39,115.88,89.48,88.02,159.04,122.6,123.68,105.03,118.29,145.24,158.15,155.65,166.22,144.66,136.21,132.13,102.12,166.13
Rikka,16.75,24.3,65.09,38.76,35.11,29.45,32.46,39.49,31.89,54.17,41.28,37.8,32.76,46.64,72.98,23.2,27.8,24.89,27.65,13.06,40.01,30.62,22.74,21.25,17.05,29.35,32.19
