,
Aki,282.34
Koyori,186.30
Kaela,143.54
Choco,123.34
Lui,120.07
Bijou,112.23
FuwaMoco,108.41
Calli,101.59
Subaru,96.45
Pekora,95.66
Reine,93.57
Fubuki,89.80
Ririka,89.69
Kiara,84.43
Korone,78.06
Watame,75.66
Flare,74.35
Baelz,73.94
Raden,73.07
Miko,67.73
Nerissa,61.53
Aqua,58.01
Ollie,54.83
Luna,52.86
Noel,51.28
Moona,49.41
Shiori,48.53
Ao,48.40
Sora,46.78
Iofi,45.68
Polka,44.86
Kanade,41.76
Fauna,38.72
Lamy,37.96
Anya,37.12
Kronii,35.92
Chloe,35.52
Mio,34.89
Mumei,34.12
IryS,33.20
Mel,32.96
Matsuri,31.65
Risu,31.43
Towa,29.50
Nene,29.04
Amelia,26.88
Ina,25.73
Hajime,25.38
Kobo,24.70
Iroha,22.56
Shion,21.62
Zeta,18.38
Suisei,13.63
Marine,13.34
Azki,12.53
Kanata,11.59
Ayame,10.15
Botan,7.90
Roboco,6.12
Okayu,4.61
Laplus,1.27
Haato,0.00
Gura,0.00
