,
Watame,107.35
Pekora,106.23
Aruran,105.03
Kiara,102.26
Lamy,97.3
Flare,92.83
Miko,91.68
Towa,78.94
Reine,75.86
Subaru,73.31
IRyS,71.31
Ollie,70.74
Calli,70.37
Luna,70.35
Gura,70.29
Amelia,60.53
Botan,60.31
Ina,59.7
Korone,59.17
Roboco,58.14
Anya,55.88
Polka,55.68
Noel,54.06
Okayu,52.98
Fubuki,52.84
Rushia,52.63
Kronii,52.27
Baelz,50.35
Nene,49.27
Fauna,48.32
Astel,46.37
Oga,45.39
Matsuri,45.23
Shien,44.39
Miyabi,43.03
Moona,42.08
Sora,41.75
Kanata,39.49
Roberu,38.42
Mumei,38.34
Temma,32.8
Choco,27.92
Rikka,27.8
Iofi,26.64
Sana,25.12
Shion,24.84
Aqua,23.2
Izuru,23.16
Aki,22.34
Mio,20.83
Mel,20.61
Risu,14.65
Suisei,14.13
Marine,4.43
Haato,1.97
Ayame,1.06
AZki,0.09
