,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24
Shiori,1.71,40.45,56.56,48.53,35.16,22.02,61.37,54.03,43.82,51.73,31.48,47.65,22.91,24.86
Bijou,0.83,117.15,142.93,112.23,134.84,81.18,125.36,96.76,113.97,131.6,43.39,102.38,57,58.54
Nerissa,0.7,81.23,42.21,61.53,96.71,52.41,45.51,63.11,30.71,50.03,20.59,60.87,26.02,24.8
FuwaMoco,0.74,96.25,94.31,108.41,85.25,82.55,102.47,58.82,16.76,44.37,54.53,56.36,63.43,60.42
