,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
Hajime,19.3,25.38,21.01,18.09,35.31,32.3,38.18,49.81,57.46,57.84,72.1,36.33,52.82,45.45,39.74,30.26,47.93
Raden,25.1,73.07,19.86,32.01,29.44,39.43,33.17,39.25,36.03,26.59,33.07,23.69,25.31,20.64,24.64,13.05,15.3
Ao,31.69,48.4,29.67,72.15,68.27,66.38,33.91,105.3,71.37,40.26,39.22,57.32,62.69,32.01,34.29,113.3,27.23
Ririka,100.19,89.69,99.7,97.69,85.02,79.82,86.07,98.08,86.02,89.35,98.55,105.97,62.55,62.89,69.16,50.21,74.53
Kanade,24.7,41.76,32.36,29.72,38.4,31.48,51.86,35.46,81.62,48.68,68.57,39.5,54.59,36.04,25.91,50.82,52.32
