,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25
Elizabeth,77.42,64.52,63.33,64.52,60,70.97,80.65
Gigi,93.55,83.87,80,87.1,93.33,93.55,90.32
Cecilia,83.87,83.87,86.67,74.19,63.33,87.1,83.87
Raora,93.55,90.32,90,74.19,90,77.42,87.1
