,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24
Fauna,67.74,53.57,83.87,80,70.97,80,67.74,77.42,70,80.65,53.33,77.42,45.16,75,54.84,76.67,70.97,73.33,48.39,64.52,50,48.39,66.67,67.74,77.42,41.38,64.52,56.67,54.84
Kronii,54.84,35.71,61.29,40,48.39,46.67,61.29,67.74,40,58.06,60,45.16,48.39,32.14,25.81,63.33,54.84,56.67,51.61,41.94,43.33,54.84,40,77.42,38.71,31.03,45.16,63.33,48.39
Mumei,87.1,53.57,61.29,66.67,58.06,56.67,80.65,74.19,60,67.74,66.67,67.74,67.74,35.71,38.71,66.67,51.61,30,48.39,51.61,66.67,64.52,60,22.58,22.58,37.93,54.84,46.67,19.35
Baelz,74.19,89.29,67.74,56.67,64.52,70,58.06,74.19,73.33,70.97,70,74.19,58.06,75,74.19,76.67,70.97,50,77.42,77.42,53.33,67.74,60,87.1,74.19,89.66,61.29,70,64.52
IRyS,54.84,60.71,61.29,63.33,45.16,36.67,48.39,51.61,50,74.19,30,48.39,29.03,60.71,58.06,50,58.06,36.67,54.84,61.29,26.67,41.94,53.33,70.97,58.06,44.83,64.52,56.67,58.06
