,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24
Noel,70.97,71.43,77.42,76.67,77.42,70,64.52,74.19,40,45.16,66.67,64.52,77.42,64.29,51.61,73.33,67.74,66.67,58.06,70.97,56.67,61.29,70,83.87,80.65,62.07,67.74
Pekora,74.19,57.14,80.65,80,83.87,53.33,83.87,96.77,80,70.97,70,83.87,70.97,85.71,70.97,80,80.65,93.33,80.65,83.87,76.67,80.65,76.67,77.42,67.74,58.62,93.55
Flare,87.1,78.57,87.1,73.33,80.65,76.67,74.19,74.19,43.33,64.52,80,80.65,83.87,71.43,83.87,50,80.65,73.33,74.19,61.29,86.67,77.42,53.33,58.06,58.06,48.28,80.65
Marine,64.52,46.43,54.84,53.33,45.16,26.67,64.52,77.42,33.33,45.16,50,61.29,48.39,71.43,93.55,90,80.65,66.67,90.32,83.87,80,58.06,70,90.32,77.42,55.17,83.87
