,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24
Miko,77.42,82.14,90.32,80,70.97,73.33,70.97,87.1,80,67.74,80,80.65,67.74,75,74.19,80,67.74,66.67,87.1,70.97,83.33,83.87,70,77.42,70.97,86.21,83.87,76.67,83.87,83.33,83.87
Roboco,67.74,64.29,48.39,40,58.06,56.67,51.61,77.42,73.33,48.39,23.33,61.29,70.97,50,48.39,56.67,48.39,46.67,54.84,45.16,30,19.35,66.67,58.06,70.97,75.86,77.42,60,45.16,23.33,54.84
Sora,48.39,64.29,61.29,66.67,67.74,73.33,80.65,61.29,63.33,67.74,63.33,64.52,67.74,53.57,61.29,73.33,77.42,73.33,80.65,80.65,63.33,64.52,66.67,77.42,67.74,65.52,80.65,90,70.97,70,74.19
AZki,19.35,28.57,29.03,20,35.48,43.33,32.26,51.61,30,38.71,66.67,61.29,35.48,32.14,38.71,53.33,48.39,50,48.39,74.19,73.33,64.52,83.33,77.42,74.19,62.07,87.1,83.33,83.87,83.33,67.74
Suisei,70.97,60.71,64.52,63.33,51.61,56.67,64.52,74.19,43.33,35.48,56.67,64.52,51.61,50,45.16,76.67,51.61,56.67,64.52,83.87,56.67,54.84,50,74.19,70.97,41.38,67.74,56.67,58.06,60,41.94
