,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24
Calli,58.06,53.57,70.97,70,61.29,50,64.52,74.19,60,58.06,66.67,74.19,38.71,71.43,61.29,73.33,74.19,76.67,74.19,67.74,73.33,74.19,66.67,83.87,77.42,82.76,83.87,83.33,51.61,73.33,80.65,70.97,86.67,87.1,86.67
Kiara,93.55,71.43,77.42,83.33,80.65,66.67,74.19,80.65,93.33,87.1,80,70.97,80.65,78.57,77.42,80,67.74,80,70.97,87.1,76.67,77.42,76.67,87.1,80.65,65.52,80.65,73.33,83.87,73.33,64.52,64.52,80,83.87,73.33
Ina,70.97,50,80.65,63.33,48.39,23.33,64.52,61.29,66.67,19.35,3.33,9.68,51.61,57.14,41.94,36.67,67.74,53.33,54.84,70.97,53.33,25.81,53.33,58.06,41.94,58.62,64.52,53.33,61.29,66.67,32.26,48.39,73.33,45.16,23.33
Gura,67.74,53.57,70.97,60,51.61,50,41.94,67.74,50,61.29,23.33,22.58,12.9,32.14,38.71,40,25.81,23.33,54.84,54.84,20,6.45,30,12.9,45.16,24.14,22.58,20,16.13,53.33,9.68,35.48,53.33,3.23,3.33
Amelia,54.84,60.71,64.52,73.33,80.65,73.33,67.74,77.42,76.67,67.74,63.33,41.94,45.16,64.29,51.61,63.33,51.61,53.33,38.71,41.94,43.33,32.26,36.67,19.35,41.94,13.79,22.58,13.33,12.9,33.33,16.13,41.94,83.33,6.45
