,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23
JP,74.19,71.43,74.19,70,70.97,66.67,67.74,74.19,56.67,67.74,70,70.97,67.74,67.86,70.97,73.33,67.74,66.67
EN,67.74,53.57,69.355,65,59.675,53.335,64.52,74.19,63.335,67.74,61.665,58.065,46.775,62.5,53.225,65,62.9,53.33
ID,70,67.86,76.67,70,64.52,80,64.52,73.33,66.67,77.42,76.67,64.52,61.29,64.29,80.645,68.33,66.13,66.67
