member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Pekora,1717,849,1858,1837,6481,0,0,0
Miko,892,669,1956,1757,2523,1502,372,32
Marine,955,504,1255,1410,2020,1847,789,0
Koyori,1050,698,2033,1815,2822,0,0,0
Watame,1041,956,1685,1204,1532,1590,391,0
Subaru,1124,591,910,717,1500,1671,0,0
Gura,637,269,572,493,1460,2920,0,0
Fubuki,1067,566,1139,954,1235,732,323,108
Suisei,516,345,1305,924,2758,0,0,0
Towa,652,275,881,998,1338,890,0,0
Iroha,614,558,1055,763,1990,0,0,0
Ina,229,191,520,589,1314,2012,0,0
Flare,763,531,897,565,939,801,324,0
Aqua,649,301,447,541,891,1105,491,114
Luna,916,543,1131,724,564,453,207,0
AZki,1501,711,1200,332,272,423,0,0
Korone,267,210,469,495,1059,1788,0,0
Fauna,432,338,1008,808,1558,0,0,0
Okayu,462,276,719,610,987,1081,0,0
Lui,737,502,890,663,1339,0,0,0
Nene,507,379,984,658,696,881,0,0
Lamy,222,131,447,592,1286,1421,0,0
Calli,516,360,760,437,944,1045,0,0
Chloe,320,238,924,823,1754,0,0,0
Mio,391,317,493,480,994,847,463,0
IRyS,534,291,652,654,1834,0,0,0
Sora,712,425,880,468,474,784,0,0
Kronii,621,397,711,373,1593,0,0,0
Kiara,527,323,586,332,772,1139,0,0
Noel,660,333,683,476,725,729,0,0
Laplus,573,210,501,294,2005,0,0,0
Baelz,788,308,782,504,1100,0,0,0
Botan,531,230,479,446,695,810,0,0
Mumei,383,207,515,448,1529,0,0,0
Ayame,274,133,305,731,695,941,0,0
Shion,430,214,327,196,764,586,165,50
Polka,302,177,341,411,665,826,0,0
Amelia,165,104,280,303,632,1122,0,0
Kaela,418,267,655,780,347,0,0,0
Aki,338,353,472,100,295,372,0,0
Matsuri,279,148,368,324,306,446,0,0
Kanata,99,89,284,361,425,321,176,0
Reine,545,141,178,124,269,278,0,0
Roboco,308,182,294,159,187,346,0,0
Kobo,129,111,288,333,378,0,0,0
Zeta,198,130,261,254,238,0,0,0
Anya,438,132,176,334,0,0,0,0
Mel,143,103,233,200,186,165,0,0
Choco,680,60,54,31,62,44,25,0
Ollie,176,59,148,74,160,184,0,0
Moona,110,71,133,119,148,116,5,0
Risu,116,70,138,103,76,111,0,0
Iofi,92,57,127,80,99,108,0,0
