member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1265,737,1927,2186,2966,2278,1577,419
Amelia,3185,464,622,441,688,898,1805,0
Pekora,1013,435,783,818,4903,0,0,0
Fubuki,797,356,1000,1132,1448,1205,751,537
Subaru,835,278,877,810,1177,1220,1053,427
Suisei,426,196,736,930,4228,0,0,0
Marine,362,360,524,896,1329,1127,1039,683
Watame,473,210,661,636,1130,928,1149,465
Mio,560,446,818,721,868,772,1182,0
Gura,287,120,373,463,621,945,2226,0
Koyori,397,192,508,598,1399,1780,0,0
FuwaMoco,480,347,551,1153,2279,0,0,0
Raden,855,209,548,3085,0,0,0,0
Okayu,478,199,595,767,925,750,671,286
Raora,979,1629,1965,0,0,0,0,0
AZki,405,207,948,1171,1405,183,227,0
Ina,342,120,313,266,685,961,1840,0
Kanata,305,158,421,545,1132,769,617,395
Ayame,443,120,310,487,878,2041,0,0
Cecilia,988,2624,577,0,0,0,0,0
Calli,698,234,493,504,615,676,802,67
Polka,600,354,912,418,521,502,501,191
Kanade,645,238,595,2353,0,0,0,0
Bijou,364,244,590,965,1592,0,0,0
Fauna,285,160,441,512,1036,1300,0,0
Iroha,147,50,416,508,980,1492,0,0
Lamy,208,134,337,353,607,847,750,343
Sora,502,200,521,386,666,432,752,0
Towa,290,238,330,467,827,722,397,170
Gigi,1398,1973,0,0,0,0,0,0
Ririka,840,266,573,1613,0,0,0,0
Korone,155,113,322,306,577,1690,0,0
Hajime,666,201,580,1673,0,0,0,0
Kronii,305,167,426,439,509,1253,0,0
Elizabeth,1168,1858,0,0,0,0,0,0
Kiara,224,110,265,345,477,511,1015,52
Mumei,277,201,335,371,536,1189,0,0
Botan,160,96,242,346,561,557,620,216
Chloe,233,98,325,335,714,1033,0,0
Noel,249,171,437,409,571,387,331,159
Shiori,475,198,422,836,663,0,0,0
Nerissa,246,138,310,679,1197,0,0,0
Shion,508,211,142,194,360,415,414,216
Luna,143,111,304,345,655,293,240,176
Lui,225,95,341,342,492,760,0,0
Ao,605,203,456,941,0,0,0,0
Kaela,378,133,391,386,558,333,0,0
IRyS,91,46,141,273,500,1060,0,0
Flare,104,65,146,195,351,411,396,214
Aki,148,97,249,520,284,186,266,0
Laplus,89,36,156,168,1159,0,0,0
Baelz,119,56,202,254,365,394,52,0
Haato,184,58,126,158,98,158,262,90
Risu,249,151,285,176,133,62,54,24
Reine,304,98,123,80,92,165,221,0
Roboco,154,45,141,151,146,312,0,0
Choco,89,38,109,155,208,102,120,0
Matsuri,65,27,70,99,184,368,0,0
Ollie,111,37,120,95,100,175,0,0
Zeta,64,64,86,93,184,135,0,0
Anya,126,49,112,77,77,49,62,0
Iofi,55,37,88,76,75,56,78,0
Moona,39,28,56,57,98,97,80,8
Kobo,38,16,64,67,116,106,0,0
