member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1057,975,2695,1939,2814,2104,1158,288
Pekora,660,481,1305,948,5313,0,0,0
Suisei,495,489,953,1058,4020,0,0,0
AZki,831,625,1696,1876,1102,242,328,0
Watame,331,246,909,1124,1469,1224,1036,213
Aqua,1106,250,619,915,883,881,1115,564
Subaru,454,332,896,921,1112,1345,798,266
Marine,326,239,801,855,1332,1067,1103,312
Koyori,286,201,703,958,2004,1670,0,0
Fubuki,396,292,918,989,1178,977,494,329
Kanata,474,263,696,688,1329,1007,578,245
Okayu,424,313,980,609,981,840,609,199
FuwaMoco,409,192,1061,3186,0,0,0,0
Ina,302,142,382,413,870,1151,1503,0
Ririka,512,384,1412,1648,0,0,0,0
Iroha,222,155,576,641,1028,1324,0,0
Towa,228,175,492,614,1045,811,381,114
Nene,322,237,567,663,796,617,643,0
Lamy,183,131,300,456,816,965,972,0
Fauna,241,142,494,662,1136,1134,0,0
Sora,429,226,583,708,733,1103,0,0
Polka,638,345,440,477,643,529,699,0
Chloe,354,174,515,511,1027,1090,0,0
Noel,506,286,611,635,617,975,0,0
Raden,273,203,872,2219,0,0,0,0
Korone,196,139,338,381,626,1871,0,0
Kanade,370,234,2089,731,0,0,0,0
Gura,122,90,342,211,525,2053,0,0
Shiori,457,275,850,1664,0,0,0,0
Kronii,388,211,536,465,544,1091,0,0
Bijou,264,232,814,1848,0,0,0,0
Baelz,441,199,657,527,594,682,0,0
Flare,133,141,314,501,594,640,515,181
Luna,280,217,454,592,707,335,288,82
Ayame,198,86,355,318,713,1262,0,0
Kiara,196,136,398,367,473,586,752,0
Lui,259,179,462,542,753,698,0,0
Kaela,407,224,600,603,976,0,0,0
Hajime,466,237,796,1276,0,0,0,0
IRyS,124,112,388,359,648,1024,0,0
Laplus,286,122,268,251,1670,0,0,0
Calli,156,166,388,455,392,369,371,0
Botan,90,75,218,377,519,512,502,0
Nerissa,183,139,519,1389,0,0,0,0
Ao,256,186,746,493,0,0,0,0
Mumei,69,93,205,268,363,594,0,0
Haato,167,79,293,244,141,248,316,60
Aki,76,82,413,384,196,118,208,0
Amelia,49,21,56,116,272,371,562,0
Roboco,118,105,208,160,141,375,0,0
Kobo,158,105,165,202,409,52,0,0
Risu,195,137,263,153,130,50,74,0
Zeta,127,58,138,168,324,0,0,0
Ollie,143,88,169,113,106,187,0,0
Reine,47,36,107,93,123,149,132,0
Matsuri,29,29,75,98,181,248,0,0
Choco,51,25,129,148,105,89,81,0
Iofi,94,66,109,75,75,63,72,0
Moona,63,49,89,78,103,95,60,0
Anya,43,31,74,218,0,0,0,0
