member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Miko,1252,1118,2060,1871,3042,1446,281,8
Pekora,973,614,1830,1236,4977,0,0,0
Koyori,1384,952,2185,1596,2253,0,0,0
Marine,766,495,1304,1267,2106,1776,406,0
Suisei,1098,741,1787,960,3353,0,0,0
Fubuki,1167,582,1325,1117,1803,854,290,94
Watame,1143,576,1230,1060,1662,1253,189,0
Kanata,1073,627,1484,911,1383,1064,0,0
Okayu,778,428,1099,818,1517,1326,0,0
Fauna,1147,669,1108,951,1745,0,0,0
Subaru,1174,151,469,728,1762,1196,0,0
Iroha,807,523,1363,667,2114,0,0,0
Ina,386,210,717,728,1655,1701,0,0
Kronii,1608,446,556,502,2025,0,0,0
Nene,1223,608,1021,526,824,793,0,0
Korone,470,254,526,534,1329,1685,0,0
Flare,893,412,768,611,1032,760,206,0
Towa,803,283,884,819,1233,648,0,0
Gura,361,167,372,553,1268,1839,0,0
Lamy,376,157,596,713,1352,1239,0,0
Laplus,605,325,355,667,2476,0,0,0
Chloe,625,378,1195,565,1609,0,0,0
Calli,902,418,542,516,1121,851,0,0
Ayame,646,210,585,751,1023,1073,0,0
Mio,827,82,472,594,993,1082,0,0
Kiara,682,321,437,395,1076,1047,0,0
Aqua,411,112,481,466,1014,999,346,60
Mumei,524,290,568,672,1822,0,0,0
Lui,785,359,838,704,985,0,0,0
Luna,748,371,812,514,517,438,86,0
Baelz,766,380,582,459,1168,0,0,0
Sora,800,379,543,443,455,728,0,0
Amelia,302,199,397,445,876,1085,0,0
IRyS,361,230,558,515,1535,0,0,0
Noel,523,229,550,389,761,589,0,0
Botan,336,199,513,478,771,704,0,0
Kaela,592,377,955,1016,0,0,0,0
Polka,203,129,299,423,614,711,0,0
Shion,315,113,135,210,641,477,114,36
Kobo,482,222,489,810,0,0,0,0
AZki,668,244,404,164,225,251,0,0
Matsuri,289,161,423,247,304,345,0,0
Aki,520,185,102,191,248,342,0,0
Zeta,509,155,311,480,0,0,0,0
Moona,270,99,200,159,235,124,0,0
Roboco,201,114,161,101,213,274,0,0
Risu,337,111,183,138,116,116,0,0
Mel,206,122,263,132,148,126,0,0
Iofi,369,132,171,85,102,99,0,0
Ollie,305,80,94,70,146,127,0,0
Reine,87,50,79,125,212,159,0,0
Anya,135,71,123,230,0,0,0,0
Choco,27,37,29,54,82,43,20,0
