member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Pekora,1176,1089,1629,1097,5067,0,0,0
Miko,885,800,1605,2128,2693,1262,200,0
Koyori,1052,877,1936,1570,2000,0,0,0
Marine,679,489,1085,1372,1759,1643,260,0
Watame,928,628,1085,1238,1985,1409,0,0
Chloe,1288,818,1507,767,1950,0,0,0
Ina,931,532,580,897,1841,1548,0,0
Kanata,775,818,1094,896,1395,945,0,0
Okayu,1108,507,844,948,1372,1111,0,0
Iroha,1195,745,961,771,2100,0,0,0
Gura,691,154,465,732,1633,1893,0,0
Fubuki,694,356,1007,873,1460,671,197,55
Lamy,200,208,530,1054,1523,1319,0,0
Calli,981,310,531,635,1328,877,0,0
Suisei,781,383,758,806,1909,0,0,0
Subaru,205,139,533,672,1914,1006,0,0
Fauna,713,324,856,825,1420,0,0,0
Korone,319,213,444,481,1186,1360,0,0
Towa,448,477,586,874,986,557,0,0
Flare,403,275,534,580,997,674,143,0
Botan,669,280,512,563,834,701,0,0
Kaela,926,485,1230,916,0,0,0,0
Nene,471,323,748,473,869,654,0,0
Mio,135,124,455,744,1017,1037,0,0
Amelia,508,216,397,429,953,923,0,0
Lui,561,378,808,720,903,0,0,0
IRyS,239,182,726,564,1576,0,0,0
Kiara,481,178,317,393,990,853,0,0
Baelz,595,278,550,510,1175,0,0,0
Aqua,168,110,368,465,864,835,243,37
Luna,460,344,678,357,519,403,0,0
Sora,567,246,458,373,1098,0,0,0
Polka,442,190,320,475,612,693,0,0
Noel,381,302,354,439,732,457,0,0
Mumei,381,187,436,448,989,0,0,0
Ayame,118,154,577,200,796,593,0,0
Haato,530,231,501,161,381,378,0,0
Matsuri,514,350,346,229,354,317,0,0
Laplus,302,68,173,435,1044,0,0,0
Kobo,336,211,550,784,0,0,0,0
Shion,41,65,113,309,668,514,88,29
Kronii,121,83,207,330,953,0,0,0
Mel,532,278,311,186,211,145,0,0
Moona,480,129,298,221,297,132,0,0
AZki,413,136,243,202,323,122,0,0
Aki,259,26,90,239,260,359,0,0
Zeta,275,141,352,449,0,0,0,0
Reine,211,72,158,210,475,0,0,0
Roboco,211,93,178,104,251,259,0,0
Choco,120,32,118,163,234,131,35,0
Ollie,117,52,75,90,303,0,0,0
Anya,155,71,121,288,0,0,0,0
Iofi,104,53,109,89,106,93,0,0
Risu,103,53,141,80,72,61,0,0
