member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Nimi,5654,4119,0,0,0,0,0,0
Sakuna,122,142,3055,0,0,0,0,0
Dooby,302,102,830,0,0,0,0,0
Rica,80,41,127,256,84,91,0,0
