member,New Members,1 Month,2 Month,6 Month,1 Year,2 Year,3 Year,4 Year
Fubuki,1473,606,1176,1586,1707,704,162,55
Miko,747,450,1415,1761,2128,575,63,0
Pekora,965,561,1115,919,3366,0,0,0
Watame,550,345,1190,970,1895,797,0,0
Gura,566,279,614,754,2352,868,0,0
Koyori,733,604,1311,2569,0,0,0,0
Marine,235,233,828,833,1333,906,0,0
Nene,956,465,654,731,1051,457,0,0
Amelia,357,277,508,543,1665,586,0,0
Korone,291,105,424,620,1444,957,0,0
Fauna,709,356,731,836,1152,0,0,0
Chloe,767,234,546,2146,0,0,0,0
Subaru,223,207,432,867,1418,537,0,0
Lamy,165,174,600,900,1092,717,0,0
Kanata,353,206,650,659,976,555,0,0
Okayu,318,152,476,806,1138,454,0,0
Mumei,393,216,631,884,1186,0,0,0
Towa,285,279,663,847,808,355,0,0
Aqua,186,138,419,530,1096,791,0,0
Lui,657,329,849,1268,0,0,0,0
Kiara,481,222,283,509,1212,366,0,0
Luna,671,374,526,392,690,390,0,0
Flare,220,171,611,540,996,469,23,0
Kaela,1024,637,1364,0,0,0,0,0
Mio,104,103,562,508,1004,651,0,0
Ina,236,144,433,425,1334,315,0,0
Calli,167,176,393,539,1070,340,0,0
IRyS,497,227,298,605,1042,0,0,0
Laplus,84,55,442,2038,0,0,0,0
Kronii,191,149,377,516,1201,0,0,0
Sora,273,225,482,280,1141,0,0,0
Baelz,441,219,364,662,661,0,0,0
Haato,933,278,154,194,530,188,0,0
Kobo,524,355,1320,0,0,0,0,0
Suisei,70,147,357,592,1012,0,0,0
Ayame,308,337,131,326,742,312,0,0
Polka,177,122,400,367,641,398,0,0
Botan,155,154,355,308,732,273,0,0
Noel,157,101,300,297,489,258,0,0
Matsuri,299,183,272,211,329,217,0,0
Zeta,505,220,752,0,0,0,0,0
Iroha,43,39,249,1121,0,0,0,0
Moona,381,199,291,184,278,38,0,0
Shion,29,27,157,290,527,228,71,0
Reine,222,99,218,156,406,0,0,0
Aki,36,28,191,178,278,255,0,0
Mel,206,120,166,168,166,134,0,0
Ollie,333,40,104,115,315,0,0,0
Risu,218,126,148,95,158,61,0,0
AZki,106,57,112,133,354,0,0,0
Roboco,93,55,107,123,191,183,0,0
Iofi,185,81,139,65,117,59,0,0
Choco,93,0,74,358,0,0,0,0
Anya,88,54,60,185,0,0,0,0
